propithecus_coquereli ENSPCOG00000024505
microcebus_murinus ENSMICG00000047115
prolemur_simus ENSPSMG00000015266
castor_canadensis ENSCCNG00000027049
dipodomys_ordii ENSDORG00000008421
mus_spicilegus ENSMSIG00000016821
mus_musculus ENSMUSG00000095105
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019083
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018225
mus_pahari MGP_PahariEiJ_G0019275
rattus_norvegicus ENSRNOG00000002624
meriones_unguiculatus ENSMUGG00000016334
cricetulus_griseus_crigri ENSCGRG00000015990
cricetulus_griseus_crigri-picr ENSCGRG00015012263
cricetulus_griseus_chok1gshd ENSCGRG00001007181
mesocricetus_auratus ENSMAUG00000009216
peromyscus_maniculatus_bairdii ENSPEMG00000024740
microtus_ochrogaster ENSMOCG00000019787
nannospalax_galili ENSNGAG00000005542
jaculus_jaculus ENSJJAG00000019933
urocitellus_parryii ENSUPAG00010021013
ictidomys_tridecemlineatus ENSSTOG00000022830
spermophilus_dauricus ENSSDAG00000016609
marmota_marmota_marmota ENSMMMG00000018120
cavia_porcellus ENSCPOG00000026728
cavia_aperea ENSCAPG00000013224
chinchilla_lanigera ENSCLAG00000016588
octodon_degus ENSODEG00000008012
heterocephalus_glaber_male ENSHGLG00100011335
heterocephalus_glaber_female ENSHGLG00000013953
fukomys_damarensis ENSFDAG00000017764
pan_paniscus ENSPPAG00000038427
pan_troglodytes ENSPTRG00000033991
gorilla_gorilla ENSGGOG00000002149
homo_sapiens ENSG00000186197
pongo_abelii ENSPPYG00000000088
nomascus_leucogenys ENSNLEG00000003225
macaca_nemestrina ENSMNEG00000027890
macaca_fascicularis ENSMFAG00000038481
macaca_mulatta ENSMMUG00000021238
mandrillus_leucophaeus ENSMLEG00000044078
theropithecus_gelada ENSTGEG00000014131
papio_anubis ENSPANG00000009366
cercocebus_atys ENSCATG00000025338
colobus_angolensis_palliatus ENSCANG00000037876
rhinopithecus_bieti ENSRBIG00000039820
piliocolobus_tephrosceles ENSPTEG00000036766
rhinopithecus_roxellana ENSRROG00000041710
chlorocebus_sabaeus ENSCSAG00000009746
cebus_capucinus ENSCCAG00000015021
callithrix_jacchus ENSCJAG00000047849
saimiri_boliviensis_boliviensis ENSSBOG00000029351
aotus_nancymaae ENSANAG00000036740
carlito_syrichta ENSTSYG00000002147
oryctolagus_cuniculus ENSOCUG00000022288
ochotona_princeps ENSOPRG00000018750
ursus_maritimus ENSUMAG00000013814
ursus_americanus ENSUAMG00000012230
ailuropoda_melanoleuca ENSAMEG00000004777
mustela_putorius_furo ENSMPUG00000012764
neovison_vison ENSNVIG00000011786
canis_lupus_familiaris ENSCAFG00000011040
canis_lupus_dingo ENSCAFG00020026963
vulpes_vulpes ENSVVUG00000009287
panthera_pardus ENSPPRG00000014027
panthera_tigris_altaica ENSPTIG00000012291
felis_catus ENSFCAG00000038673
equus_asinus_asinus ENSEASG00005003356
equus_caballus ENSECAG00000007926
bison_bison_bison ENSBBBG00000011823
bos_mutus ENSBMUG00000001045
bos_taurus ENSBTAG00000044197
capra_hircus ENSCHIG00000011262
ovis_aries ENSOARG00000003622
tursiops_truncatus ENSTTRG00000012361
sus_scrofa ENSSSCG00000025986
pteropus_vampyrus ENSPVAG00000004365
myotis_lucifugus ENSMLUG00000029639
loxodonta_africana ENSLAFG00000020561
procavia_capensis ENSPCAG00000013992
dasypus_novemcinctus ENSDNOG00000047024
phascolarctos_cinereus ENSPCIG00000008342
notamacropus_eugenii ENSMEUG00000009423
sarcophilus_harrisii ENSSHAG00000008973
monodelphis_domestica ENSMODG00000007986
