astatotilapia_calliptera ENSACLG00000017729
maylandia_zebra ENSMZEG00005018177
pundamilia_nyererei ENSPNYG00000010470
haplochromis_burtoni ENSHBUG00000020944
neolamprologus_brichardi ENSNBRG00000001905
oreochromis_niloticus ENSONIG00000020632
amphilophus_citrinellus ENSACIG00000018426
poecilia_latipinna ENSPLAG00000010592
poecilia_mexicana ENSPMEG00000013623
poecilia_reticulata ENSPREG00000010936
xiphophorus_couchianus ENSXCOG00000004579
xiphophorus_maculatus ENSXMAG00000027337
gambusia_affinis ENSGAFG00000008303
fundulus_heteroclitus ENSFHEG00000001624
cyprinodon_variegatus ENSCVAG00000006080
oryzias_latipes_asm223469v1 ENSORLG00015003111
amphiprion_percula ENSAPEG00000009847
amphiprion_ocellaris ENSAOCG00000005809
acanthochromis_polyacanthus ENSAPOG00000022835
stegastes_partitus ENSSPAG00000021155
labrus_bergylta ENSLBEG00000021592
gasterosteus_aculeatus ENSGACG00000017107
tetraodon_nigroviridis ENSTNIG00000000308
takifugu_rubripes ENSTRUG00000006710
mola_mola ENSMMOG00000008107
hippocampus_comes ENSHCOG00000010565
hippocampus_comes ENSHCOG00000010518
seriola_dumerili ENSSDUG00000017528
seriola_lalandi_dorsalis ENSSLDG00000016120
scophthalmus_maximus ENSSMAG00000000765
mastacembelus_armatus ENSMAMG00000010554
anabas_testudineus ENSATEG00000016547
esox_lucius ENSELUG00000019937
astyanax_mexicanus ENSAMXG00000025286
pygocentrus_nattereri ENSPNAG00000017772
