tupaia_belangeri ENSTBEG00000000102
urocitellus_parryii ENSUPAG00010023616
gorilla_gorilla ENSGGOG00000039841
pan_paniscus ENSPPAG00000037344
colobus_angolensis ENSCANG00000017633
piliocolobus_tephrosceles ENSPTEG00000018640
rhinopithecus_roxellana ENSRROG00000036836
ornithorhynchus_anatinus ENSOANG00000014318
anolis_carolinensis ENSACAG00000015337
notechis_scutatus ENSNSUG00000015053
pogona_vitticeps ENSPVIG00000018522
salvator_merianae ENSSMRG00000022653
chelonoidis_abingdonii ENSCABG00000002301
gopherus_agassizii ENSGAGG00000008581
chrysemys_picta ENSCPBG00000024232
pelodiscus_sinensis ENSPSIG00000016007
calidris_pygmaea ENSCPGG00000018700
calidris_pugnax ENSCPUG00000000259
junco_hyemalis ENSJHYG00000015623
zonotrichia_albicollis ENSZALG00000016664
serinus_canaria ENSSCAG00000012487
lonchura_striata ENSLSDG00000010268
taeniopygia_guttata ENSTGUG00000003235
cyanistes_caeruleus ENSCCEG00000023433
parus_major ENSPMJG00000008489
ficedula_albicollis ENSFALG00000010603
lepidothrix_coronata ENSLCOG00000015640
manacus_vitellinus ENSMVIG00005014130
melopsittacus_undulatus ENSMUNG00000012562
anser_brachyrhynchus ENSABRG00000006143
anas_platyrhynchos ENSAPLG00000002740
gallus_gallus ENSGALG00000003322
coturnix_japonica ENSCJPG00005008241
meleagris_gallopavo ENSMGAG00000003929
numida_meleagris ENSNMEG00000012410
apteryx_haastii ENSAHAG00000004196
apteryx_rowi ENSARWG00000014307
apteryx_owenii ENSAOWG00000014778
dromaius_novaehollandiae ENSDNVG00000009337
nothoprocta_perdicaria ENSNPEG00000014498
sphenodon_punctatus ENSSPUG00000014911
phascolarctos_cinereus ENSPCIG00000022879
vombatus_ursinus ENSVURG00010012646
notamacropus_eugenii ENSMEUG00000006011
monodelphis_domestica ENSMODG00000011556
ovis_aries ENSOARG00000000399
capra_hircus ENSCHIG00000016175
bos_indicus ENSBIXG00005001464
bos_indicus ENSBIXG00000013264
bos_taurus ENSBTAG00000012022
bos_mutus ENSBMUG00000007506
bison_bison ENSBBBG00000010632
tursiops_truncatus ENSTTRG00000015843
sus_scrofa ENSSSCG00000027477
vicugna_pacos ENSVPAG00000011112
equus_caballus ENSECAG00000024651
equus_asinus ENSEASG00005015610
ursus_maritimus ENSUMAG00000011010
ursus_americanus ENSUAMG00000018246
ailuropoda_melanoleuca ENSAMEG00000012429
mustela_putorius ENSMPUG00000015422
neovison_vison ENSNVIG00000010110
canis_lupus ENSCAFG00020015461
canis_lupus ENSCAFG00000014159
vulpes_vulpes ENSVVUG00000001659
panthera_pardus ENSPPRG00000009942
panthera_tigris ENSPTIG00000011999
felis_catus ENSFCAG00000010511
erinaceus_europaeus ENSEEUG00000010158
propithecus_coquereli ENSPCOG00000019898
microcebus_murinus ENSMICG00000009141
prolemur_simus ENSPSMG00000007927
oryctolagus_cuniculus ENSOCUG00000006503
ochotona_princeps ENSOPRG00000005561
pteropus_vampyrus ENSPVAG00000013114
echinops_telfairi ENSETEG00000002343
dipodomys_ordii ENSDORG00000011070
loxodonta_africana ENSLAFG00000013895
procavia_capensis ENSPCAG00000014942
otolemur_garnettii ENSOGAG00000014091
carlito_syrichta ENSTSYG00000000295
pan_troglodytes ENSPTRG00000007333
pan_paniscus ENSPPAG00000039206
homo_sapiens ENSG00000167202
gorilla_gorilla ENSGGOG00000009034
pongo_abelii ENSPPYG00000006687
nomascus_leucogenys ENSNLEG00000008394
macaca_mulatta ENSMMUG00000009907
macaca_nemestrina ENSMNEG00000041091
macaca_fascicularis ENSMFAG00000031378
theropithecus_gelada ENSTGEG00000000816
mandrillus_leucophaeus ENSMLEG00000034795
cercocebus_atys ENSCATG00000036403
papio_anubis ENSPANG00000015846
chlorocebus_sabaeus ENSCSAG00000014743
colobus_angolensis ENSCANG00000032381
piliocolobus_tephrosceles ENSPTEG00000010281
rhinopithecus_bieti ENSRBIG00000035899
rhinopithecus_roxellana ENSRROG00000043265
cebus_capucinus ENSCCAG00000027403
saimiri_boliviensis ENSSBOG00000013439
callithrix_jacchus ENSCJAG00000010097
aotus_nancymaae ENSANAG00000021509
mus_spicilegus ENSMSIG00000026428
mus_spretus MGP_SPRETEiJ_G0033659
mus_musculus ENSMUSG00000037410
mus_caroli MGP_CAROLIEiJ_G0032519
rattus_norvegicus ENSRNOG00000014543
meriones_unguiculatus ENSMUGG00000007770
cricetulus_griseus ENSCGRG00001018935
cricetulus_griseus ENSCGRG00015007050
cricetulus_griseus ENSCGRG00000004270
mesocricetus_auratus ENSMAUG00000000447
microtus_ochrogaster ENSMOCG00000010939
peromyscus_maniculatus ENSPEMG00000000960
nannospalax_galili ENSNGAG00000011997
chinchilla_lanigera ENSCLAG00000008200
octodon_degus ENSODEG00000014294
cavia_porcellus ENSCPOG00000001558
cavia_aperea ENSCAPG00000002918
heterocephalus_glaber ENSHGLG00000001762
heterocephalus_glaber ENSHGLG00100012349
fukomys_damarensis ENSFDAG00000010993
urocitellus_parryii ENSUPAG00010023615
ictidomys_tridecemlineatus ENSSTOG00000003679
spermophilus_dauricus ENSSDAG00000014882
marmota_marmota ENSMMMG00000000961
choloepus_hoffmanni ENSCHOG00000000988
dasypus_novemcinctus ENSDNOG00000006738
ornithorhynchus_anatinus ENSOANG00000012922
xenopus_tropicalis ENSXETG00000019539
mus_pahari MGP_PahariEiJ_G0015386
latimeria_chalumnae ENSLACG00000000999
scleropages_formosus ENSSFOG00015021474
paramormyrops_kingsleyae ENSPKIG00000000735
takifugu_rubripes ENSTRUG00000012809
tetraodon_nigroviridis ENSTNIG00000008406
betta_splendens ENSBSLG00000011270
cottoperca_gobio ENSCGOG00000006940
gasterosteus_aculeatus ENSGACG00000010224
larimichthys_crocea ENSLCRG00005012124
labrus_bergylta ENSLBEG00000017052
mola_mola ENSMMOG00000003025
scophthalmus_maximus ENSSMAG00000015620
cynoglossus_semilaevis ENSCSEG00000002419
seriola_dumerili ENSSDUG00000009055
seriola_lalandi ENSSLDG00000024492
lates_calcarifer ENSLCAG00010010867
mastacembelus_armatus ENSMAMG00000007374
monopterus_albus ENSMALG00000008850
anabas_testudineus ENSATEG00000007749
amphiprion_ocellaris ENSAOCG00000005362
amphiprion_percula ENSAPEG00000019629
acanthochromis_polyacanthus ENSAPOG00000009689
acanthochromis_polyacanthus ENSAPOG00000009715
stegastes_partitus ENSSPAG00000017785
parambassis_ranga ENSPRNG00000015468
astatotilapia_calliptera ENSACLG00000017911
maylandia_zebra ENSMZEG00005022501
haplochromis_burtoni ENSHBUG00000014259
pundamilia_nyererei ENSPNYG00000012627
oreochromis_niloticus ENSONIG00000015341
neolamprologus_brichardi ENSNBRG00000017704
amphilophus_citrinellus ENSACIG00000002367
acanthochromis_polyacanthus ENSAPOG00000006702
poecilia_formosa ENSPFOG00000004997
poecilia_latipinna ENSPLAG00000007333
poecilia_mexicana ENSPMEG00000014515
poecilia_reticulata ENSPREG00000009310
xiphophorus_maculatus ENSXMAG00000003338
xiphophorus_couchianus ENSXCOG00000020036
gambusia_affinis ENSGAFG00000020655
fundulus_heteroclitus ENSFHEG00000001883
cyprinodon_variegatus ENSCVAG00000021752
kryptolebias_marmoratus ENSKMAG00000018360
oryzias_latipes ENSORLG00020006443
oryzias_latipes ENSORLG00000007421
oryzias_latipes ENSORLG00015020538
oryzias_melastigma ENSOMEG00000022540
gouania_willdenowi ENSGWIG00000015246
hippocampus_comes ENSHCOG00000013445
periophthalmus_magnuspinnatus ENSPMGG00000004050
gadus_morhua ENSGMOG00000013366
hucho_hucho ENSHHUG00000021681
esox_lucius ENSELUG00000003801
denticeps_clupeoides ENSDCDG00000023097
denticeps_clupeoides ENSDCDG00000019499
clupea_harengus ENSCHAG00000007897
astyanax_mexicanus ENSAMXG00005017526
astyanax_mexicanus ENSAMXG00000017913
pygocentrus_nattereri ENSPNAG00000013270
ictalurus_punctatus ENSIPUG00000021625
electrophorus_electricus ENSEEEG00000001451
danio_rerio ENSDARG00000061986
lepisosteus_oculatus ENSLOCG00000014842
erpetoichthys_calabaricus ENSECRG00000020363
callorhinchus_milii ENSCMIG00000007006
petromyzon_marinus ENSPMAG00000001955
petromyzon_marinus ENSPMAG00000008384
petromyzon_marinus ENSPMAG00000001161
