gouania_willdenowi ENSGWIG00000009088
hippocampus_comes ENSHCOG00000012990
gasterosteus_aculeatus ENSGACG00000012108
mola_mola ENSMMOG00000015813
betta_splendens ENSBSLG00000024812
tetraodon_nigroviridis ENSTNIG00000003391
takifugu_rubripes ENSTRUG00000011519
oryzias_latipes ENSORLG00000027815
oryzias_latipes ENSORLG00020018544
oryzias_latipes ENSORLG00015013810
oryzias_melastigma ENSOMEG00000021804
xiphophorus_couchianus ENSXCOG00000019623
gambusia_affinis ENSGAFG00000006542
fundulus_heteroclitus ENSFHEG00000001011
cyprinodon_variegatus ENSCVAG00000020588
labrus_bergylta ENSLBEG00000010031
labrus_bergylta ENSLBEG00000007741
seriola_lalandi ENSSLDG00000007606
kryptolebias_marmoratus ENSKMAG00000012565
cynoglossus_semilaevis ENSCSEG00000004260
seriola_lalandi ENSSLDG00000007595
anabas_testudineus ENSATEG00000022874
astatotilapia_calliptera ENSACLG00000003318
maylandia_zebra ENSMZEG00005006400
haplochromis_burtoni ENSHBUG00000018107
oreochromis_niloticus ENSONIG00000020204
neolamprologus_brichardi ENSNBRG00000009612
amphiprion_ocellaris ENSAOCG00000018466
parambassis_ranga ENSPRNG00000022677
amphiprion_percula ENSAPEG00000013464
gambusia_affinis ENSGAFG00000006536
xiphophorus_couchianus ENSXCOG00000019112
poecilia_formosa ENSPFOG00000014068
fundulus_heteroclitus ENSFHEG00000010765
poecilia_mexicana ENSPMEG00000024046
poecilia_reticulata ENSPREG00000018484
poecilia_latipinna ENSPLAG00000010761
xiphophorus_maculatus ENSXMAG00000000183
scophthalmus_maximus ENSSMAG00000005614
mastacembelus_armatus ENSMAMG00000019413
stegastes_partitus ENSSPAG00000022401
acanthochromis_polyacanthus ENSAPOG00000018501
amphilophus_citrinellus ENSACIG00000003742
pundamilia_nyererei ENSPNYG00000020750
monopterus_albus ENSMALG00000005984
seriola_dumerili ENSSDUG00000003813
larimichthys_crocea ENSLCRG00005020367
gadus_morhua ENSGMOG00000013940
astyanax_mexicanus ENSAMXG00000017974
astyanax_mexicanus ENSAMXG00000036593
astyanax_mexicanus ENSAMXG00005019607
pygocentrus_nattereri ENSPNAG00000027800
pygocentrus_nattereri ENSPNAG00000015061
ictalurus_punctatus ENSIPUG00000005231
electrophorus_electricus ENSEEEG00000017537
danio_rerio ENSDARG00000053122
clupea_harengus ENSCHAG00000016154
hucho_hucho ENSHHUG00000045088
hucho_hucho ENSHHUG00000029753
esox_lucius ENSELUG00000020575
paramormyrops_kingsleyae ENSPKIG00000013266
scleropages_formosus ENSSFOG00015017608
lepisosteus_oculatus ENSLOCG00000017259
erpetoichthys_calabaricus ENSECRG00000005478
taeniopygia_guttata ENSTGUG00000011818
lonchura_striata ENSLSDG00000016004
serinus_canaria ENSSCAG00000014224
zonotrichia_albicollis ENSZALG00000016153
junco_hyemalis ENSJHYG00000016547
ficedula_albicollis ENSFALG00000011412
cyanistes_caeruleus ENSCCEG00000015044
parus_major ENSPMJG00000013759
manacus_vitellinus ENSMVIG00005017819
lepidothrix_coronata ENSLCOG00000016229
melopsittacus_undulatus ENSMUNG00000012668
calidris_pygmaea ENSCPGG00000012886
calidris_pugnax ENSCPUG00000017782
anser_brachyrhynchus ENSABRG00000007913
anas_platyrhynchos ENSAPLG00000014464
gallus_gallus ENSGALG00000014853
coturnix_japonica ENSCJPG00005009161
meleagris_gallopavo ENSMGAG00000013295
numida_meleagris ENSNMEG00000022111
apteryx_owenii ENSAOWG00000006622
apteryx_haastii ENSAHAG00000010231
apteryx_rowi ENSARWG00000016991
dromaius_novaehollandiae ENSDNVG00000000259
nothoprocta_perdicaria ENSNPEG00000013720
crocodylus_porosus ENSCPRG00005004908
chrysemys_picta ENSCPBG00000018665
chelonoidis_abingdonii ENSCABG00000020605
pelodiscus_sinensis ENSPSIG00000013314
gopherus_agassizii ENSGAGG00000013190
anolis_carolinensis ENSACAG00000001621
pogona_vitticeps ENSPVIG00000023029
notechis_scutatus ENSNSUG00000004454
salvator_merianae ENSSMRG00000012096
sphenodon_punctatus ENSSPUG00000009505
phascolarctos_cinereus ENSPCIG00000023944
vombatus_ursinus ENSVURG00010023160
notamacropus_eugenii ENSMEUG00000004393
sarcophilus_harrisii ENSSHAG00000007453
monodelphis_domestica ENSMODG00000017728
oryctolagus_cuniculus ENSOCUG00000008486
ochotona_princeps ENSOPRG00000001022
heterocephalus_glaber ENSHGLG00100007629
heterocephalus_glaber ENSHGLG00000001622
fukomys_damarensis ENSFDAG00000018221
chinchilla_lanigera ENSCLAG00000014159
cavia_aperea ENSCAPG00000009049
cavia_porcellus ENSCPOG00000002795
octodon_degus ENSODEG00000005352
carlito_syrichta ENSTSYG00000026899
pteropus_vampyrus ENSPVAG00000005624
myotis_lucifugus ENSMLUG00000008971
capra_hircus ENSCHIG00000023264
ovis_aries ENSOARG00000008112
bos_indicus ENSBIXG00000015728
bos_indicus ENSBIXG00005011460
bos_taurus ENSBTAG00000021099
bos_mutus ENSBMUG00000012977
bison_bison ENSBBBG00000000055
tursiops_truncatus ENSTTRG00000010743
vicugna_pacos ENSVPAG00000009394
sus_scrofa ENSSSCG00000004232
ursus_maritimus ENSUMAG00000001385
ursus_americanus ENSUAMG00000008720
ailuropoda_melanoleuca ENSAMEG00000007484
canis_lupus ENSCAFG00000001006
canis_lupus ENSCAFG00020021735
vulpes_vulpes ENSVVUG00000000265
neovison_vison ENSNVIG00000019478
mustela_putorius ENSMPUG00000014480
panthera_tigris ENSPTIG00000018520
panthera_pardus ENSPPRG00000015040
