pan_troglodytes ENSPTRG00000046641
pan_paniscus ENSPPAG00000028147
gorilla_gorilla ENSGGOG00000038362
colobus_angolensis ENSCANG00000034225
piliocolobus_tephrosceles ENSPTEG00000037477
rhinopithecus_roxellana ENSRROG00000030521
rhinopithecus_bieti ENSRBIG00000027224
theropithecus_gelada ENSTGEG00000018396
papio_anubis ENSPANG00000031915
mandrillus_leucophaeus ENSMLEG00000032605
macaca_fascicularis ENSMFAG00000045546
macaca_nemestrina ENSMNEG00000034649
cercocebus_atys ENSCATG00000032708
cebus_capucinus ENSCCAG00000005936
