gorilla_gorilla ENSGGOG00000041086
nomascus_leucogenys ENSNLEG00000026869
pan_paniscus ENSPPAG00000028726
pan_troglodytes ENSPTRG00000015678
homo_sapiens ENSG00000186038
pongo_abelii ENSPPYG00000014342
papio_anubis ENSPANG00000030960
mandrillus_leucophaeus ENSMLEG00000038486
cercocebus_atys ENSCATG00000044422
macaca_mulatta ENSMMUG00000047491
macaca_fascicularis ENSMFAG00000001496
theropithecus_gelada ENSTGEG00000023959
chlorocebus_sabaeus ENSCSAG00000013540
rhinopithecus_roxellana ENSRROG00000008280
rhinopithecus_bieti ENSRBIG00000033134
piliocolobus_tephrosceles ENSPTEG00000027232
callithrix_jacchus ENSCJAG00000013139
cebus_capucinus ENSCCAG00000037415
saimiri_boliviensis_boliviensis ENSSBOG00000021223
callithrix_jacchus ENSCJAG00000042509
aotus_nancymaae ENSANAG00000037618
pan_troglodytes ENSPTRG00000015676
carlito_syrichta ENSTSYG00000006428
prolemur_simus ENSPSMG00000021608
microcebus_murinus ENSMICG00000049068
propithecus_coquereli ENSPCOG00000024574
ursus_maritimus ENSUMAG00000006439
mustela_putorius_furo ENSMPUG00000002410
panthera_pardus ENSPPRG00000004092
panthera_tigris_altaica ENSPTIG00000017614
felis_catus ENSFCAG00000007786
sorex_araneus ENSSARG00000003399
choloepus_hoffmanni ENSCHOG00000011755
choloepus_hoffmanni ENSCHOG00000003099
