melopsittacus_undulatus ENSMUNG00000007100
nothoprocta_perdicaria ENSNPEG00000005019
crocodylus_porosus ENSCPRG00005011471
chrysemys_picta_bellii ENSCPBG00000009295
gopherus_agassizii ENSGAGG00000009573
pelodiscus_sinensis ENSPSIG00000016355
anolis_carolinensis ENSACAG00000000376
pogona_vitticeps ENSPVIG00000002990
pteropus_vampyrus ENSPVAG00000007720
myotis_lucifugus ENSMLUG00000014251
bison_bison_bison ENSBBBG00000010575
bos_taurus ENSBTAG00000000749
bos_mutus ENSBMUG00000023557
ovis_aries ENSOARG00000019975
capra_hircus ENSCHIG00000017319
tursiops_truncatus ENSTTRG00000012601
sus_scrofa ENSSSCG00000027144
vicugna_pacos ENSVPAG00000000564
ursus_americanus ENSUAMG00000013789
ailuropoda_melanoleuca ENSAMEG00000001446
ursus_maritimus ENSUMAG00000015518
neovison_vison ENSNVIG00000001215
mustela_putorius_furo ENSMPUG00000010334
canis_lupus_familiaris ENSCAFG00000011421
canis_lupus_dingo ENSCAFG00020012824
vulpes_vulpes ENSVVUG00000030344
panthera_pardus ENSPPRG00000005840
panthera_tigris_altaica ENSPTIG00000012835
felis_catus ENSFCAG00000027228
equus_asinus_asinus ENSEASG00005013897
equus_caballus ENSECAG00000021424
erinaceus_europaeus ENSEEUG00000006535
sorex_araneus ENSSARG00000003110
cricetulus_griseus_chok1gshd ENSCGRG00001004513
cricetulus_griseus_crigri-picr ENSCGRG00015004655
cricetulus_griseus_crigri ENSCGRG00000015215
mesocricetus_auratus ENSMAUG00000020897
peromyscus_maniculatus_bairdii ENSPEMG00000014844
mus_spicilegus ENSMSIG00000014721
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030103
mus_musculus ENSMUSG00000054966
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029048
mus_pahari MGP_PahariEiJ_G0022809
rattus_norvegicus ENSRNOG00000015910
microtus_ochrogaster ENSMOCG00000008486
castor_canadensis ENSCCNG00000015531
urocitellus_parryii ENSUPAG00010015875
marmota_marmota_marmota ENSMMMG00000018217
ictidomys_tridecemlineatus ENSSTOG00000005098
heterocephalus_glaber_female ENSHGLG00000005502
heterocephalus_glaber_male ENSHGLG00100010231
fukomys_damarensis ENSFDAG00000017091
octodon_degus ENSODEG00000009925
oryctolagus_cuniculus ENSOCUG00000006725
ochotona_princeps ENSOPRG00000008181
tupaia_belangeri ENSTBEG00000009041
pan_paniscus ENSPPAG00000019285
pan_troglodytes ENSPTRG00000004776
homo_sapiens ENSG00000152936
gorilla_gorilla ENSGGOG00000008836
pongo_abelii ENSPPYG00000004370
nomascus_leucogenys ENSNLEG00000005275
macaca_mulatta ENSMMUG00000009601
macaca_nemestrina ENSMNEG00000039772
mandrillus_leucophaeus ENSMLEG00000035492
chlorocebus_sabaeus ENSCSAG00000007754
macaca_fascicularis ENSMFAG00000030035
papio_anubis ENSPANG00000024425
cercocebus_atys ENSCATG00000031002
theropithecus_gelada ENSTGEG00000026824
rhinopithecus_roxellana ENSRROG00000029522
rhinopithecus_bieti ENSRBIG00000044203
colobus_angolensis_palliatus ENSCANG00000035222
cebus_capucinus ENSCCAG00000022403
saimiri_boliviensis_boliviensis ENSSBOG00000026881
callithrix_jacchus ENSCJAG00000045286
aotus_nancymaae ENSANAG00000015391
carlito_syrichta ENSTSYG00000000064
propithecus_coquereli ENSPCOG00000004145
microcebus_murinus ENSMICG00000038042
prolemur_simus ENSPSMG00000018464
otolemur_garnettii ENSOGAG00000011065
loxodonta_africana ENSLAFG00000004100
procavia_capensis ENSPCAG00000001685
choloepus_hoffmanni ENSCHOG00000000573
phascolarctos_cinereus ENSPCIG00000028658
notamacropus_eugenii ENSMEUG00000015329
sarcophilus_harrisii ENSSHAG00000009195
monodelphis_domestica ENSMODG00000017456
ciona_intestinalis ENSCING00000019609
caenorhabditis_elegans_strain_n2 WBGene00002067
