monopterus_albus ENSMALG00000020289
anabas_testudineus ENSATEG00000012115
scophthalmus_maximus ENSSMAG00000019782
fundulus_heteroclitus ENSFHEG00000007329
cyprinodon_variegatus ENSCVAG00000011106
poecilia_mexicana ENSPMEG00000011055
poecilia_latipinna ENSPLAG00000015795
gambusia_affinis ENSGAFG00000012353
xiphophorus_maculatus ENSXMAG00000024064
xiphophorus_couchianus ENSXCOG00000013410
poecilia_reticulata ENSPREG00000002100
kryptolebias_marmoratus ENSKMAG00000016777
amphiprion_percula ENSAPEG00000000568
amphiprion_percula ENSAPEG00000000621
amphiprion_ocellaris ENSAOCG00000012594
acanthochromis_polyacanthus ENSAPOG00000005801
stegastes_partitus ENSSPAG00000021153
maylandia_zebra ENSMZEG00005019965
pundamilia_nyererei ENSPNYG00000010061
haplochromis_burtoni ENSHBUG00000006554
amphilophus_citrinellus ENSACIG00000011251
seriola_lalandi_dorsalis ENSSLDG00000016538
seriola_dumerili ENSSDUG00000019633
mastacembelus_armatus ENSMAMG00000022038
labrus_bergylta ENSLBEG00000007213
