octodon_degus ENSODEG00000001492
cavia_porcellus ENSCPOG00000038177
chinchilla_lanigera ENSCLAG00000008278
heterocephalus_glaber_female ENSHGLG00000003238
heterocephalus_glaber_male ENSHGLG00100013043
castor_canadensis ENSCCNG00000021052
ochotona_princeps ENSOPRG00000004567
dipodomys_ordii ENSDORG00000025245
microcebus_murinus ENSMICG00000043112
carlito_syrichta ENSTSYG00000028788
echinops_telfairi ENSETEG00000010854
prolemur_simus ENSPSMG00000025025
prolemur_simus ENSPSMG00000017442
propithecus_coquereli ENSPCOG00000020760
otolemur_garnettii ENSOGAG00000028616
pan_paniscus ENSPPAG00000032716
pan_troglodytes ENSPTRG00000029090
gorilla_gorilla ENSGGOG00000005799
homo_sapiens ENSG00000130312
pongo_abelii ENSPPYG00000009709
nomascus_leucogenys ENSNLEG00000005736
rhinopithecus_bieti ENSRBIG00000010999
rhinopithecus_bieti ENSRBIG00000005154
rhinopithecus_roxellana ENSRROG00000028622
colobus_angolensis_palliatus ENSCANG00000039994
piliocolobus_tephrosceles ENSPTEG00000032864
cercocebus_atys ENSCATG00000032681
mandrillus_leucophaeus ENSMLEG00000039501
macaca_mulatta ENSMMUG00000009657
macaca_fascicularis ENSMFAG00000044117
macaca_nemestrina ENSMNEG00000041354
chlorocebus_sabaeus ENSCSAG00000005626
theropithecus_gelada ENSTGEG00000012126
papio_anubis ENSPANG00000030930
cebus_capucinus ENSCCAG00000031745
saimiri_boliviensis_boliviensis ENSSBOG00000031590
callithrix_jacchus ENSCJAG00000047204
aotus_nancymaae ENSANAG00000020983
cricetulus_griseus_chok1gshd ENSCGRG00001014234
cricetulus_griseus_crigri ENSCGRG00000007085
cricetulus_griseus_crigri-picr ENSCGRG00015004815
mesocricetus_auratus ENSMAUG00000001884
peromyscus_maniculatus_bairdii ENSPEMG00000029638
microtus_ochrogaster ENSMOCG00000004117
mus_musculus ENSMUSG00000034880
mus_spicilegus ENSMSIG00000030622
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032304
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031185
mus_pahari MGP_PahariEiJ_G0021650
rattus_norvegicus ENSRNOG00000017552
meriones_unguiculatus ENSMUGG00000023293
nannospalax_galili ENSNGAG00000018101
jaculus_jaculus ENSJJAG00000018808
marmota_marmota_marmota ENSMMMG00000023547
urocitellus_parryii ENSUPAG00010019490
spermophilus_dauricus ENSSDAG00000008854
ictidomys_tridecemlineatus ENSSTOG00000006247
tupaia_belangeri ENSTBEG00000012656
equus_caballus ENSECAG00000011693
equus_asinus_asinus ENSEASG00005002874
bos_taurus ENSBTAG00000014579
bos_mutus ENSBMUG00000020291
bison_bison_bison ENSBBBG00000011730
ovis_aries ENSOARG00000017239
capra_hircus ENSCHIG00000014263
tursiops_truncatus ENSTTRG00000003137
sus_scrofa ENSSSCG00000039295
vicugna_pacos ENSVPAG00000011826
pteropus_vampyrus ENSPVAG00000007874
