pteropus_vampyrus ENSPVAG00000008253
myotis_lucifugus ENSMLUG00000005509
equus_caballus ENSECAG00000015750
panthera_tigris_altaica ENSPTIG00000014887
panthera_pardus ENSPPRG00000024317
felis_catus ENSFCAG00000014654
canis_lupus_familiaris ENSCAFG00000006990
canis_lupus_dingo ENSCAFG00020004176
vulpes_vulpes ENSVVUG00000008364
capra_hircus ENSCHIG00000003257
ovis_aries ENSOARG00000000567
bos_mutus ENSBMUG00000015285
bos_taurus ENSBTAG00000027383
bison_bison_bison ENSBBBG00000009920
capra_hircus ENSCHIG00000026115
ovis_aries ENSOARG00000000559
bos_mutus ENSBMUG00000015297
bos_taurus ENSBTAG00000027384
bison_bison_bison ENSBBBG00000001661
sus_scrofa ENSSSCG00000007219
mus_musculus ENSMUSG00000062124
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025386
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024465
mus_pahari MGP_PahariEiJ_G0025908
rattus_norvegicus ENSRNOG00000036896
meriones_unguiculatus ENSMUGG00000023088
cricetulus_griseus_crigri-picr ENSCGRG00015003780
cricetulus_griseus_crigri ENSCGRG00000016844
cricetulus_griseus_chok1gshd ENSCGRG00001024639
mesocricetus_auratus ENSMAUG00000006224
microtus_ochrogaster ENSMOCG00000017697
peromyscus_maniculatus_bairdii ENSPEMG00000001389
nannospalax_galili ENSNGAG00000010020
jaculus_jaculus ENSJJAG00000008564
urocitellus_parryii ENSUPAG00010018919
spermophilus_dauricus ENSSDAG00000009720
cavia_porcellus ENSCPOG00000025439
cavia_aperea ENSCAPG00000008303
octodon_degus ENSODEG00000012410
oryctolagus_cuniculus ENSOCUG00000001431
ochotona_princeps ENSOPRG00000007672
theropithecus_gelada ENSTGEG00000008726
chlorocebus_sabaeus ENSCSAG00000012800
macaca_mulatta ENSMMUG00000017531
piliocolobus_tephrosceles ENSPTEG00000002002
pongo_abelii ENSPPYG00000010883
castor_canadensis ENSCCNG00000018952
prolemur_simus ENSPSMG00000003303
loxodonta_africana ENSLAFG00000027923
choloepus_hoffmanni ENSCHOG00000006038
