macaca_fascicularis ENSMFAG00000044426
macaca_nemestrina ENSMNEG00000030744
macaca_mulatta ENSMMUG00000043912
chlorocebus_sabaeus ENSCSAG00000003943
mandrillus_leucophaeus ENSMLEG00000042558
cercocebus_atys ENSCATG00000037339
papio_anubis ENSPANG00000021144
theropithecus_gelada ENSTGEG00000006421
rhinopithecus_bieti ENSRBIG00000038642
rhinopithecus_roxellana ENSRROG00000029770
piliocolobus_tephrosceles ENSPTEG00000015629
colobus_angolensis_palliatus ENSCANG00000008267
pan_paniscus ENSPPAG00000028573
pan_troglodytes ENSPTRG00000031170
homo_sapiens ENSG00000159761
gorilla_gorilla ENSGGOG00000003897
nomascus_leucogenys ENSNLEG00000004840
cebus_capucinus ENSCCAG00000022817
saimiri_boliviensis_boliviensis ENSSBOG00000029131
callithrix_jacchus ENSCJAG00000016084
aotus_nancymaae ENSANAG00000028908
carlito_syrichta ENSTSYG00000012342
prolemur_simus ENSPSMG00000010079
microcebus_murinus ENSMICG00000029986
propithecus_coquereli ENSPCOG00000016718
otolemur_garnettii ENSOGAG00000032116
heterocephalus_glaber_female ENSHGLG00000012096
heterocephalus_glaber_male ENSHGLG00100013408
fukomys_damarensis ENSFDAG00000009498
chinchilla_lanigera ENSCLAG00000005955
octodon_degus ENSODEG00000015580
cavia_aperea ENSCAPG00000009734
cavia_porcellus ENSCPOG00000027376
ictidomys_tridecemlineatus ENSSTOG00000019639
marmota_marmota_marmota ENSMMMG00000014934
urocitellus_parryii ENSUPAG00010000804
spermophilus_dauricus ENSSDAG00000017730
mus_musculus ENSMUSG00000013158
mus_spicilegus ENSMSIG00000016691
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032611
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031493
mus_pahari MGP_PahariEiJ_G0023093
rattus_norvegicus ENSRNOG00000017867
meriones_unguiculatus ENSMUGG00000016816
cricetulus_griseus_crigri ENSCGRG00000008933
cricetulus_griseus_crigri-picr ENSCGRG00015007739
cricetulus_griseus_chok1gshd ENSCGRG00001021520
mesocricetus_auratus ENSMAUG00000019530
microtus_ochrogaster ENSMOCG00000018173
peromyscus_maniculatus_bairdii ENSPEMG00000018093
nannospalax_galili ENSNGAG00000015590
jaculus_jaculus ENSJJAG00000016092
castor_canadensis ENSCCNG00000014940
oryctolagus_cuniculus ENSOCUG00000009036
bison_bison_bison ENSBBBG00000001366
bos_mutus ENSBMUG00000003370
bos_taurus ENSBTAG00000018906
ovis_aries ENSOARG00000003128
capra_hircus ENSCHIG00000013815
tursiops_truncatus ENSTTRG00000009217
vicugna_pacos ENSVPAG00000004411
sus_scrofa ENSSSCG00000021711
myotis_lucifugus ENSMLUG00000005279
pteropus_vampyrus ENSPVAG00000016597
equus_caballus ENSECAG00000010822
equus_asinus_asinus ENSEASG00005012870
ursus_maritimus ENSUMAG00000019611
ursus_americanus ENSUAMG00000015975
ailuropoda_melanoleuca ENSAMEG00000017508
neovison_vison ENSNVIG00000009588
mustela_putorius_furo ENSMPUG00000006520
canis_lupus_familiaris ENSCAFG00000023935
canis_lupus_dingo ENSCAFG00020018282
vulpes_vulpes ENSVVUG00000012540
panthera_tigris_altaica ENSPTIG00000018423
panthera_pardus ENSPPRG00000002647
felis_catus ENSFCAG00000026033
procavia_capensis ENSPCAG00000009880
loxodonta_africana ENSLAFG00000007225
dasypus_novemcinctus ENSDNOG00000025508
phascolarctos_cinereus ENSPCIG00000017556
notamacropus_eugenii ENSMEUG00000009381
salvator_merianae ENSSMRG00000008748
