amphiprion_ocellaris ENSAOCG00000010018
amphiprion_percula ENSAPEG00000013438
acanthochromis_polyacanthus ENSAPOG00000009597
stegastes_partitus ENSSPAG00000008297
fundulus_heteroclitus ENSFHEG00000009440
cyprinodon_variegatus ENSCVAG00000023320
xiphophorus_maculatus ENSXMAG00000012893
xiphophorus_couchianus ENSXCOG00000014437
gambusia_affinis ENSGAFG00000010492
poecilia_formosa ENSPFOG00000004443
poecilia_mexicana ENSPMEG00000014064
poecilia_latipinna ENSPLAG00000010802
poecilia_reticulata ENSPREG00000000420
kryptolebias_marmoratus ENSKMAG00000018627
oryzias_latipes ENSORLG00000025305
oryzias_latipes_asm223469v1 ENSORLG00015003750
oryzias_latipes ENSORLG00020005224
oryzias_melastigma ENSOMEG00000013195
astatotilapia_calliptera ENSACLG00000020456
maylandia_zebra ENSMZEG00005007598
pundamilia_nyererei ENSPNYG00000001464
haplochromis_burtoni ENSHBUG00000018567
neolamprologus_brichardi ENSNBRG00000023782
oreochromis_niloticus ENSONIG00000017723
amphilophus_citrinellus ENSACIG00000009273
takifugu_rubripes ENSTRUG00000010552
tetraodon_nigroviridis ENSTNIG00000014066
mola_mola ENSMMOG00000021379
labrus_bergylta ENSLBEG00000005125
gasterosteus_aculeatus ENSGACG00000018992
monopterus_albus ENSMALG00000006076
mastacembelus_armatus ENSMAMG00000011734
anabas_testudineus ENSATEG00000019353
seriola_dumerili ENSSDUG00000002348
seriola_lalandi_dorsalis ENSSLDG00000012965
scophthalmus_maximus ENSSMAG00000004382
hippocampus_comes ENSHCOG00000020514
periophthalmus_magnuspinnatus ENSPMGG00000016437
esox_lucius ENSELUG00000016247
cynoglossus_semilaevis ENSCSEG00000012303
phascolarctos_cinereus ENSPCIG00000024812
sarcophilus_harrisii ENSSHAG00000016306
monodelphis_domestica ENSMODG00000002751
phascolarctos_cinereus ENSPCIG00000001795
monodelphis_domestica ENSMODG00000029636
notamacropus_eugenii ENSMEUG00000012086
prolemur_simus ENSPSMG00000020545
propithecus_coquereli ENSPCOG00000000076
otolemur_garnettii ENSOGAG00000017007
pan_paniscus ENSPPAG00000031429
pan_troglodytes ENSPTRG00000001026
