ochotona_princeps ENSOPRG00000015906
oryctolagus_cuniculus ENSOCUG00000004690
dipodomys_ordii ENSDORG00000029301
canis_lupus_dingo ENSCAFG00020003760
canis_lupus_dingo ENSCAFG00020006737
canis_lupus_familiaris ENSCAFG00000018039
vulpes_vulpes ENSVVUG00000019589
sorex_araneus ENSSARG00000009657
loxodonta_africana ENSLAFG00000004425
procavia_capensis ENSPCAG00000006920
echinops_telfairi ENSETEG00000004278
dasypus_novemcinctus ENSDNOG00000015787
choloepus_hoffmanni ENSCHOG00000012046
saimiri_boliviensis_boliviensis ENSSBOG00000006542
callithrix_jacchus ENSCJAG00000044585
cebus_capucinus ENSCCAG00000002712
cebus_capucinus ENSCCAG00000023378
saimiri_boliviensis_boliviensis ENSSBOG00000026404
aotus_nancymaae ENSANAG00000016669
aotus_nancymaae ENSANAG00000036874
pan_paniscus ENSPPAG00000009241
pan_troglodytes ENSPTRG00000052235
gorilla_gorilla ENSGGOG00000025122
homo_sapiens ENSG00000177971
pongo_abelii ENSPPYG00000006664
rhinopithecus_roxellana ENSRROG00000024157
rhinopithecus_bieti ENSRBIG00000024522
piliocolobus_tephrosceles ENSPTEG00000025521
colobus_angolensis_palliatus ENSCANG00000018342
macaca_mulatta ENSMMUG00000016103
macaca_fascicularis ENSMFAG00000008867
macaca_nemestrina ENSMNEG00000026328
theropithecus_gelada ENSTGEG00000028619
cercocebus_atys ENSCATG00000015188
papio_anubis ENSPANG00000013668
chlorocebus_sabaeus ENSCSAG00000019732
carlito_syrichta ENSTSYG00000005503
microcebus_murinus ENSMICG00000044149
prolemur_simus ENSPSMG00000026023
propithecus_coquereli ENSPCOG00000012367
otolemur_garnettii ENSOGAG00000004917
peromyscus_maniculatus_bairdii ENSPEMG00000013003
microtus_ochrogaster ENSMOCG00000008647
cricetulus_griseus_crigri-picr ENSCGRG00015025334
cricetulus_griseus_crigri ENSCGRG00000018907
cricetulus_griseus_chok1gshd ENSCGRG00001001326
mesocricetus_auratus ENSMAUG00000010279
mus_spicilegus ENSMSIG00000009332
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033398
mus_musculus ENSMUSG00000032288
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032258
mus_pahari MGP_PahariEiJ_G0015125
rattus_norvegicus ENSRNOG00000017460
meriones_unguiculatus ENSMUGG00000024321
nannospalax_galili ENSNGAG00000017248
castor_canadensis ENSCCNG00000016049
cavia_porcellus ENSCPOG00000012016
octodon_degus ENSODEG00000020194
heterocephalus_glaber_male ENSHGLG00100020660
heterocephalus_glaber_female ENSHGLG00000019824
fukomys_damarensis ENSFDAG00000018422
marmota_marmota_marmota ENSMMMG00000002143
spermophilus_dauricus ENSSDAG00000015690
urocitellus_parryii ENSUPAG00010005835
ictidomys_tridecemlineatus ENSSTOG00000030143
ursus_maritimus ENSUMAG00000003736
ursus_americanus ENSUAMG00000022724
ailuropoda_melanoleuca ENSAMEG00000019247
neovison_vison ENSNVIG00000013593
mustela_putorius_furo ENSMPUG00000020147
panthera_pardus ENSPPRG00000018701
felis_catus ENSFCAG00000040328
bison_bison_bison ENSBBBG00000000116
bos_mutus ENSBMUG00000001896
capra_hircus ENSCHIG00000006295
pteropus_vampyrus ENSPVAG00000010036
myotis_lucifugus ENSMLUG00000014032
equus_asinus_asinus ENSEASG00005015693
equus_caballus ENSECAG00000015786
sarcophilus_harrisii ENSSHAG00000006200
monodelphis_domestica ENSMODG00000025193
chelonoidis_abingdonii ENSCABG00000012118
gopherus_agassizii ENSGAGG00000008163
chrysemys_picta_bellii ENSCPBG00000021662
apteryx_owenii ENSAOWG00000015602
apteryx_rowi ENSARWG00000013330
apteryx_haastii ENSAHAG00000007478
dromaius_novaehollandiae ENSDNVG00000011564
nothoprocta_perdicaria ENSNPEG00000012604
gallus_gallus ENSGALG00000040238
coturnix_japonica ENSCJPG00005002767
numida_meleagris ENSNMEG00000008626
anas_platyrhynchos_platyrhynchos ENSAPLG00000016868
anser_brachyrhynchus ENSABRG00000002800
lonchura_striata_domestica ENSLSDG00000002360
taeniopygia_guttata ENSTGUG00000013228
parus_major ENSPMJG00000012980
serinus_canaria ENSSCAG00000014102
cyanistes_caeruleus ENSCCEG00000000758
ficedula_albicollis ENSFALG00000014811
lepidothrix_coronata ENSLCOG00000010324
junco_hyemalis ENSJHYG00000004902
melopsittacus_undulatus ENSMUNG00000010600
calidris_pygmaea ENSCPGG00000005849
calidris_pugnax ENSCPUG00000010271
crocodylus_porosus ENSCPRG00005000701
anolis_carolinensis ENSACAG00000016259
pogona_vitticeps ENSPVIG00000008908
notechis_scutatus ENSNSUG00000019292
salvator_merianae ENSSMRG00000009561
latimeria_chalumnae ENSLACG00000022148
xenopus_tropicalis ENSXETG00000017234
poecilia_formosa ENSPFOG00000016529
poecilia_mexicana ENSPMEG00000000797
poecilia_latipinna ENSPLAG00000013831
poecilia_reticulata ENSPREG00000006885
xiphophorus_maculatus ENSXMAG00000023049
xiphophorus_couchianus ENSXCOG00000007392
gambusia_affinis ENSGAFG00000007425
fundulus_heteroclitus ENSFHEG00000016954
cyprinodon_variegatus ENSCVAG00000019511
kryptolebias_marmoratus ENSKMAG00000001956
stegastes_partitus ENSSPAG00000002088
cynoglossus_semilaevis ENSCSEG00000017200
gasterosteus_aculeatus ENSGACG00000015998
seriola_lalandi_dorsalis ENSSLDG00000015587
seriola_dumerili ENSSDUG00000010594
anabas_testudineus ENSATEG00000020021
amphiprion_percula ENSAPEG00000005250
