mustela_putorius_furo ENSMPUG00000003396
ailuropoda_melanoleuca ENSAMEG00000004333
chinchilla_lanigera ENSCLAG00000014472
octodon_degus ENSODEG00000014568
cavia_porcellus ENSCPOG00000030236
fukomys_damarensis ENSFDAG00000008882
ictidomys_tridecemlineatus ENSSTOG00000032769
spermophilus_dauricus ENSSDAG00000001660
urocitellus_parryii ENSUPAG00010020154
marmota_marmota_marmota ENSMMMG00000023586
mus_musculus ENSMUSG00000110266
mus_spicilegus ENSMSIG00000007924
meriones_unguiculatus ENSMUGG00000006451
cricetulus_griseus_crigri ENSCGRG00000001919
cricetulus_griseus_chok1gshd ENSCGRG00001024988
cricetulus_griseus_crigri-picr ENSCGRG00015022427
mesocricetus_auratus ENSMAUG00000010291
peromyscus_maniculatus_bairdii ENSPEMG00000010480
microtus_ochrogaster ENSMOCG00000012210
nannospalax_galili ENSNGAG00000019647
jaculus_jaculus ENSJJAG00000020698
dasypus_novemcinctus ENSDNOG00000032776
sarcophilus_harrisii ENSSHAG00000000579
anolis_carolinensis ENSACAG00000028989
oreochromis_niloticus ENSONIG00000006154
poecilia_formosa ENSPFOG00000005762
