apteryx_rowi ENSARWG00000007881
dromaius_novaehollandiae ENSDNVG00000013095
nothoprocta_perdicaria ENSNPEG00000001615
cyanistes_caeruleus ENSCCEG00000015870
serinus_canaria ENSSCAG00000008354
calidris_pugnax ENSCPUG00000005899
melopsittacus_undulatus ENSMUNG00000013867
meleagris_gallopavo ENSMGAG00000017252
crocodylus_porosus ENSCPRG00005015928
chelonoidis_abingdonii ENSCABG00000007097
gopherus_agassizii ENSGAGG00000023069
chrysemys_picta_bellii ENSCPBG00000007312
sphenodon_punctatus ENSSPUG00000007217
phascolarctos_cinereus ENSPCIG00000023902
