maylandia_zebra ENSMZEG00005014389
astatotilapia_calliptera ENSACLG00000022695
haplochromis_burtoni ENSHBUG00000011289
pundamilia_nyererei ENSPNYG00000008618
neolamprologus_brichardi ENSNBRG00000013545
oreochromis_niloticus ENSONIG00000010627
amphilophus_citrinellus ENSACIG00000022714
fundulus_heteroclitus ENSFHEG00000003479
cyprinodon_variegatus ENSCVAG00000022092
xiphophorus_maculatus ENSXMAG00000002399
xiphophorus_couchianus ENSXCOG00000010037
gambusia_affinis ENSGAFG00000008359
amphiprion_ocellaris ENSAOCG00000019523
acanthochromis_polyacanthus ENSAPOG00000001494
stegastes_partitus ENSSPAG00000022498
monopterus_albus ENSMALG00000006335
mastacembelus_armatus ENSMAMG00000005042
anabas_testudineus ENSATEG00000003598
seriola_dumerili ENSSDUG00000016771
seriola_lalandi_dorsalis ENSSLDG00000017949
hippocampus_comes ENSHCOG00000018755
periophthalmus_magnuspinnatus ENSPMGG00000019822
cynoglossus_semilaevis ENSCSEG00000007476
mola_mola ENSMMOG00000000081
takifugu_rubripes ENSTRUG00000024779
labrus_bergylta ENSLBEG00000009448
chelonoidis_abingdonii ENSCABG00000020739
eptatretus_burgeri ENSEBUG00000011856
ciona_savignyi ENSCSAVG00000010545
caenorhabditis_elegans_strain_n2 WBGene00000415
drosophila_melanogaster FBgn0027594
