choloepus_hoffmanni ENSCHOG00000002119
dasypus_novemcinctus ENSDNOG00000008777
loxodonta_africana ENSLAFG00000011481
procavia_capensis ENSPCAG00000012764
echinops_telfairi ENSETEG00000007740
mus_spicilegus ENSMSIG00000006140
mus_musculus ENSMUSG00000073530
mus_caroli MGP_CAROLIEiJ_G0014748
mus_pahari MGP_PahariEiJ_G0027984
rattus_norvegicus ENSRNOG00000042860
meriones_unguiculatus ENSMUGG00000021772
cricetulus_griseus ENSCGRG00000004550
cricetulus_griseus ENSCGRG00001021710
cricetulus_griseus ENSCGRG00015012913
mesocricetus_auratus ENSMAUG00000011215
peromyscus_maniculatus ENSPEMG00000019822
microtus_ochrogaster ENSMOCG00000001768
nannospalax_galili ENSNGAG00000000455
jaculus_jaculus ENSJJAG00000018691
castor_canadensis ENSCCNG00000002615
chinchilla_lanigera ENSCLAG00000014894
octodon_degus ENSODEG00000010628
cavia_porcellus ENSCPOG00000003637
cavia_aperea ENSCAPG00000005967
heterocephalus_glaber ENSHGLG00000018177
heterocephalus_glaber ENSHGLG00100009566
fukomys_damarensis ENSFDAG00000010067
urocitellus_parryii ENSUPAG00010002380
spermophilus_dauricus ENSSDAG00000002356
ictidomys_tridecemlineatus ENSSTOG00000011863
marmota_marmota ENSMMMG00000017335
oryctolagus_cuniculus ENSOCUG00000015524
ochotona_princeps ENSOPRG00000005363
pan_paniscus ENSPPAG00000036025
pan_troglodytes ENSPTRG00000001712
homo_sapiens ENSG00000116183
gorilla_gorilla ENSGGOG00000002653
pongo_abelii ENSPPYG00000000479
nomascus_leucogenys ENSNLEG00000015448
colobus_angolensis ENSCANG00000035827
piliocolobus_tephrosceles ENSPTEG00000009827
rhinopithecus_bieti ENSRBIG00000042988
rhinopithecus_roxellana ENSRROG00000039792
cercocebus_atys ENSCATG00000012661
mandrillus_leucophaeus ENSMLEG00000040002
theropithecus_gelada ENSTGEG00000002295
papio_anubis ENSPANG00000011979
macaca_fascicularis ENSMFAG00000040580
macaca_mulatta ENSMMUG00000023214
macaca_nemestrina ENSMNEG00000030146
cebus_capucinus ENSCCAG00000026225
saimiri_boliviensis ENSSBOG00000021098
callithrix_jacchus ENSCJAG00000008617
aotus_nancymaae ENSANAG00000033913
carlito_syrichta ENSTSYG00000036193
microcebus_murinus ENSMICG00000005975
prolemur_simus ENSPSMG00000009778
propithecus_coquereli ENSPCOG00000016119
otolemur_garnettii ENSOGAG00000008537
tupaia_belangeri ENSTBEG00000017232
carlito_syrichta ENSTSYG00000027372
