ictidomys_tridecemlineatus ENSSTOG00000023133
urocitellus_parryii ENSUPAG00010011814
heterocephalus_glaber_female ENSHGLG00000003549
heterocephalus_glaber_male ENSHGLG00100014298
chinchilla_lanigera ENSCLAG00000016217
octodon_degus ENSODEG00000008820
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032404
mus_musculus ENSMUSG00000047986
mus_spicilegus ENSMSIG00000012709
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031286
mus_pahari MGP_PahariEiJ_G0022892
rattus_norvegicus ENSRNOG00000005729
meriones_unguiculatus ENSMUGG00000015022
microtus_ochrogaster ENSMOCG00000019944
peromyscus_maniculatus_bairdii ENSPEMG00000000570
cricetulus_griseus_crigri-picr ENSCGRG00015016215
cricetulus_griseus_chok1gshd ENSCGRG00001015020
cricetulus_griseus_crigri ENSCGRG00000005297
mesocricetus_auratus ENSMAUG00000020501
nannospalax_galili ENSNGAG00000000694
jaculus_jaculus ENSJJAG00000019152
oryctolagus_cuniculus ENSOCUG00000021806
tupaia_belangeri ENSTBEG00000003515
sorex_araneus ENSSARG00000004073
choloepus_hoffmanni ENSCHOG00000005440
loxodonta_africana ENSLAFG00000027272
procavia_capensis ENSPCAG00000001509
echinops_telfairi ENSETEG00000014304
dasypus_novemcinctus ENSDNOG00000030848
prolemur_simus ENSPSMG00000000637
propithecus_coquereli ENSPCOG00000024665
otolemur_garnettii ENSOGAG00000031926
pan_paniscus ENSPPAG00000039534
pan_troglodytes ENSPTRG00000010579
homo_sapiens ENSG00000187867
gorilla_gorilla ENSGGOG00000023236
pongo_abelii ENSPPYG00000009634
pongo_abelii ENSPPYG00000029550
nomascus_leucogenys ENSNLEG00000013390
colobus_angolensis_palliatus ENSCANG00000033069
piliocolobus_tephrosceles ENSPTEG00000037027
rhinopithecus_roxellana ENSRROG00000032410
rhinopithecus_bieti ENSRBIG00000035709
papio_anubis ENSPANG00000005117
theropithecus_gelada ENSTGEG00000006807
mandrillus_leucophaeus ENSMLEG00000031068
cercocebus_atys ENSCATG00000044550
macaca_nemestrina ENSMNEG00000039886
macaca_mulatta ENSMMUG00000013539
macaca_fascicularis ENSMFAG00000039935
chlorocebus_sabaeus ENSCSAG00000006381
cebus_capucinus ENSCCAG00000030648
saimiri_boliviensis_boliviensis ENSSBOG00000029866
callithrix_jacchus ENSCJAG00000004935
aotus_nancymaae ENSANAG00000027531
aotus_nancymaae ENSANAG00000026199
ursus_americanus ENSUAMG00000007276
ursus_maritimus ENSUMAG00000004555
ailuropoda_melanoleuca ENSAMEG00000013129
mustela_putorius_furo ENSMPUG00000003113
neovison_vison ENSNVIG00000006881
canis_lupus_dingo ENSCAFG00020006907
canis_lupus_familiaris ENSCAFG00000016501
vulpes_vulpes ENSVVUG00000026777
panthera_tigris_altaica ENSPTIG00000021368
equus_caballus ENSECAG00000030644
equus_asinus_asinus ENSEASG00005015298
bos_taurus ENSBTAG00000046744
bos_mutus ENSBMUG00000018718
bison_bison_bison ENSBBBG00000005373
capra_hircus ENSCHIG00000021116
ovis_aries ENSOARG00000006754
tursiops_truncatus ENSTTRG00000002371
sus_scrofa ENSSSCG00000013767
pteropus_vampyrus ENSPVAG00000017553
myotis_lucifugus ENSMLUG00000013023
phascolarctos_cinereus ENSPCIG00000029772
sarcophilus_harrisii ENSSHAG00000009514
monodelphis_domestica ENSMODG00000012066
notamacropus_eugenii ENSMEUG00000000201
pogona_vitticeps ENSPVIG00000009120
labrus_bergylta ENSLBEG00000002307
seriola_lalandi_dorsalis ENSSLDG00000016902
scophthalmus_maximus ENSSMAG00000014707
gasterosteus_aculeatus ENSGACG00000019446
mastacembelus_armatus ENSMAMG00000002317
mola_mola ENSMMOG00000008637
amphiprion_percula ENSAPEG00000023499
amphiprion_ocellaris ENSAOCG00000016628
gadus_morhua ENSGMOG00000011980
danio_rerio ENSDARG00000071215
takifugu_rubripes ENSTRUG00000008119
