xiphophorus_maculatus ENSXMAG00000022470
xiphophorus_couchianus ENSXCOG00000001002
gambusia_affinis ENSGAFG00000005387
poecilia_reticulata ENSPREG00000013263
poecilia_mexicana ENSPMEG00000018960
poecilia_latipinna ENSPLAG00000010932
poecilia_formosa ENSPFOG00000006244
fundulus_heteroclitus ENSFHEG00000018107
cyprinodon_variegatus ENSCVAG00000001442
kryptolebias_marmoratus ENSKMAG00000015821
gasterosteus_aculeatus ENSGACG00000007234
astatotilapia_calliptera ENSACLG00000024099
maylandia_zebra ENSMZEG00005011098
haplochromis_burtoni ENSHBUG00000007425
pundamilia_nyererei ENSPNYG00000009381
neolamprologus_brichardi ENSNBRG00000017294
oreochromis_niloticus ENSONIG00000012811
amphilophus_citrinellus ENSACIG00000012607
anabas_testudineus ENSATEG00000021433
cynoglossus_semilaevis ENSCSEG00000001923
takifugu_rubripes ENSTRUG00000015702
tetraodon_nigroviridis ENSTNIG00000008443
amphiprion_ocellaris ENSAOCG00000006436
amphiprion_percula ENSAPEG00000012634
acanthochromis_polyacanthus ENSAPOG00000011113
scophthalmus_maximus ENSSMAG00000005112
seriola_dumerili ENSSDUG00000023517
seriola_lalandi_dorsalis ENSSLDG00000002187
oryzias_latipes ENSORLG00000001693
oryzias_latipes_asm223469v1 ENSORLG00015015124
oryzias_latipes ENSORLG00020021772
oryzias_melastigma ENSOMEG00000013601
mastacembelus_armatus ENSMAMG00000023079
monopterus_albus ENSMALG00000015692
stegastes_partitus ENSSPAG00000012926
labrus_bergylta ENSLBEG00000019819
mola_mola ENSMMOG00000001469
hippocampus_comes ENSHCOG00000008670
gadus_morhua ENSGMOG00000019590
esox_lucius ENSELUG00000023755
scleropages_formosus ENSSFOG00015010507
astyanax_mexicanus ENSAMXG00000032433
pygocentrus_nattereri ENSPNAG00000027304
ictalurus_punctatus ENSIPUG00000014100
danio_rerio ENSDARG00000045929
paramormyrops_kingsleyae ENSPKIG00000013030
scleropages_formosus ENSSFOG00015022076
paramormyrops_kingsleyae ENSPKIG00000012684
danio_rerio ENSDARG00000059815
lepisosteus_oculatus ENSLOCG00000015021
pelodiscus_sinensis ENSPSIG00000012912
crocodylus_porosus ENSCPRG00005005267
anolis_carolinensis ENSACAG00000007150
pogona_vitticeps ENSPVIG00000006530
salvator_merianae ENSSMRG00000001747
anser_brachyrhynchus ENSABRG00000011708
anas_platyrhynchos_platyrhynchos ENSAPLG00000004764
meleagris_gallopavo ENSMGAG00000001138
coturnix_japonica ENSCJPG00005000890
numida_meleagris ENSNMEG00000008199
zonotrichia_albicollis ENSZALG00000016024
junco_hyemalis ENSJHYG00000014001
parus_major ENSPMJG00000007263
cyanistes_caeruleus ENSCCEG00000003693
taeniopygia_guttata ENSTGUG00000004712
ficedula_albicollis ENSFALG00000009823
apteryx_haastii ENSAHAG00000013880
apteryx_rowi ENSARWG00000013783
apteryx_owenii ENSAOWG00000002342
dromaius_novaehollandiae ENSDNVG00000017503
nothoprocta_perdicaria ENSNPEG00000006391
lepidothrix_coronata ENSLCOG00000015216
manacus_vitellinus ENSMVIG00005017036
gallus_gallus ENSGALG00000036288
calidris_pugnax ENSCPUG00000002976
lonchura_striata_domestica ENSLSDG00000011214
serinus_canaria ENSSCAG00000015871
calidris_pygmaea ENSCPGG00000003503
melopsittacus_undulatus ENSMUNG00000001075
chelonoidis_abingdonii ENSCABG00000021577
gopherus_agassizii ENSGAGG00000021855
chrysemys_picta_bellii ENSCPBG00000006067
notechis_scutatus ENSNSUG00000019491
sphenodon_punctatus ENSSPUG00000006399
sarcophilus_harrisii ENSSHAG00000006872
notamacropus_eugenii ENSMEUG00000000597
monodelphis_domestica ENSMODG00000010496
equus_asinus_asinus ENSEASG00005006528
myotis_lucifugus ENSMLUG00000022795
sorex_araneus ENSSARG00000012682
prolemur_simus ENSPSMG00000001030
propithecus_coquereli ENSPCOG00000013439
microcebus_murinus ENSMICG00000007344
otolemur_garnettii ENSOGAG00000012443
macaca_mulatta ENSMMUG00000001246
macaca_fascicularis ENSMFAG00000000861
macaca_nemestrina ENSMNEG00000014297
chlorocebus_sabaeus ENSCSAG00000012556
nomascus_leucogenys ENSNLEG00000034581
nomascus_leucogenys ENSNLEG00000003631
homo_sapiens ENSG00000180304
colobus_angolensis_palliatus ENSCANG00000043502
rhinopithecus_bieti ENSRBIG00000029389
cercocebus_atys ENSCATG00000025657
mandrillus_leucophaeus ENSMLEG00000035152
pan_troglodytes ENSPTRG00000007164
pan_paniscus ENSPPAG00000034182
papio_anubis ENSPANG00000016753
cebus_capucinus ENSCCAG00000031358
callithrix_jacchus ENSCJAG00000005156
aotus_nancymaae ENSANAG00000032482
ochotona_princeps ENSOPRG00000009548
oryctolagus_cuniculus ENSOCUG00000017341
microcebus_murinus ENSMICG00000043120
canis_lupus_familiaris ENSCAFG00000017097
mustela_putorius_furo ENSMPUG00000000565
ailuropoda_melanoleuca ENSAMEG00000002648
panthera_tigris_altaica ENSPTIG00000017213
panthera_pardus ENSPPRG00000014194
felis_catus ENSFCAG00000011332
panthera_pardus ENSPPRG00000014549
pteropus_vampyrus ENSPVAG00000016617
bos_mutus ENSBMUG00000004795
bison_bison_bison ENSBBBG00000010729
ovis_aries ENSOARG00000020730
tursiops_truncatus ENSTTRG00000011834
capra_hircus ENSCHIG00000012878
erinaceus_europaeus ENSEEUG00000004615
piliocolobus_tephrosceles ENSPTEG00000033296
saimiri_boliviensis_boliviensis ENSSBOG00000022217
carlito_syrichta ENSTSYG00000028558
nannospalax_galili ENSNGAG00000015132
nannospalax_galili ENSNGAG00000004778
jaculus_jaculus ENSJJAG00000024365
ictidomys_tridecemlineatus ENSSTOG00000026782
spermophilus_dauricus ENSSDAG00000023798
heterocephalus_glaber_female ENSHGLG00000010869
heterocephalus_glaber_male ENSHGLG00100018860
fukomys_damarensis ENSFDAG00000004541
cavia_porcellus ENSCPOG00000001960
cavia_aperea ENSCAPG00000016072
octodon_degus ENSODEG00000016846
chinchilla_lanigera ENSCLAG00000014124
mus_musculus ENSMUSG00000040652
rattus_norvegicus ENSRNOG00000015953
cricetulus_griseus_crigri ENSCGRG00000016533
mesocricetus_auratus ENSMAUG00000013089
microtus_ochrogaster ENSMOCG00000022084
peromyscus_maniculatus_bairdii ENSPEMG00000022920
tupaia_belangeri ENSTBEG00000008091
sus_scrofa ENSSSCG00000004550
dipodomys_ordii ENSDORG00000013528
vicugna_pacos ENSVPAG00000008701
loxodonta_africana ENSLAFG00000001466
echinops_telfairi ENSETEG00000017127
procavia_capensis ENSPCAG00000015761
ursus_americanus ENSUAMG00000027031
ursus_maritimus ENSUMAG00000012619
neovison_vison ENSNVIG00000018100
canis_lupus_dingo ENSCAFG00020008922
bos_taurus ENSBTAG00000015806
equus_caballus ENSECAG00000018627
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032368
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033507
mus_spicilegus ENSMSIG00000006069
mus_pahari MGP_PahariEiJ_G0015233
meriones_unguiculatus ENSMUGG00000007845
cricetulus_griseus_chok1gshd ENSCGRG00001010487
cricetulus_griseus_crigri-picr ENSCGRG00015021814
castor_canadensis ENSCCNG00000026169
marmota_marmota_marmota ENSMMMG00000007403
urocitellus_parryii ENSUPAG00010000430
gorilla_gorilla ENSGGOG00000013379
pongo_abelii ENSPPYG00000006552
rhinopithecus_roxellana ENSRROG00000037730
theropithecus_gelada ENSTGEG00000022616
dasypus_novemcinctus ENSDNOG00000037947
phascolarctos_cinereus ENSPCIG00000029448
ornithorhynchus_anatinus ENSOANG00000013359
xenopus_tropicalis ENSXETG00000010666
latimeria_chalumnae ENSLACG00000011374
