jaculus_jaculus ENSJJAG00000024117
meriones_unguiculatus ENSMUGG00000009681
ursus_maritimus ENSUMAG00000016878
ursus_americanus ENSUAMG00000004913
vulpes_vulpes ENSVVUG00000027132
canis_lupus_dingo ENSCAFG00020009616
vulpes_vulpes ENSVVUG00000025292
ursus_americanus ENSUAMG00000006664
prolemur_simus ENSPSMG00000014298
homo_sapiens ENSG00000286221
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032719
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031601
mus_pahari MGP_PahariEiJ_G0023199
gopherus_agassizii ENSGAGG00000002681
chelonoidis_abingdonii ENSCABG00000021594
ictalurus_punctatus ENSIPUG00000006213
pygocentrus_nattereri ENSPNAG00000008824
periophthalmus_magnuspinnatus ENSPMGG00000000030
scleropages_formosus ENSSFOG00015007417
