acanthochromis_polyacanthus ENSAPOG00000009834
pygocentrus_nattereri ENSPNAG00000002696
melopsittacus_undulatus ENSMUNG00000001709
meleagris_gallopavo ENSMGAG00000016651
pogona_vitticeps ENSPVIG00000002392
eptatretus_burgeri ENSEBUG00000002355
ciona_intestinalis ENSCING00000011258
ciona_intestinalis ENSCING00000012739
ciona_savignyi ENSCSAVG00000000072
ciona_savignyi ENSCSAVG00000006325
ciona_savignyi ENSCSAVG00000009999
ciona_intestinalis ENSCING00000007940
ciona_intestinalis ENSCING00000013635
ciona_intestinalis ENSCING00000008036
ciona_intestinalis ENSCING00000018354
ciona_intestinalis ENSCING00000007694
ciona_intestinalis ENSCING00000021119
eptatretus_burgeri ENSEBUG00000016330
ciona_savignyi ENSCSAVG00000000073
ciona_intestinalis ENSCING00000016974
oryzias_melastigma ENSOMEG00000001298
ciona_intestinalis ENSCING00000008056
amphilophus_citrinellus ENSACIG00000014437
anabas_testudineus ENSATEG00000009321
poecilia_mexicana ENSPMEG00000000294
lonchura_striata_domestica ENSLSDG00000013209
calidris_pugnax ENSCPUG00000005051
chelonoidis_abingdonii ENSCABG00000009227
nothoprocta_perdicaria ENSNPEG00000013706
mola_mola ENSMMOG00000000277
periophthalmus_magnuspinnatus ENSPMGG00000015777
eptatretus_burgeri ENSEBUG00000014057
ciona_intestinalis ENSCING00000014639
spermophilus_dauricus ENSSDAG00000013674
eptatretus_burgeri ENSEBUG00000016976
ciona_intestinalis ENSCING00000013207
stegastes_partitus ENSSPAG00000010107
ciona_intestinalis ENSCING00000019723
eptatretus_burgeri ENSEBUG00000005336
ciona_savignyi ENSCSAVG00000004933
lepisosteus_oculatus ENSLOCG00000016830
drosophila_melanogaster FBgn0035798
