papio_anubis ENSPANG00000017571
cercocebus_atys ENSCATG00000043271
macaca_nemestrina ENSMNEG00000013441
macaca_fascicularis ENSMFAG00000008214
mandrillus_leucophaeus ENSMLEG00000021233
chlorocebus_sabaeus ENSCSAG00000019066
macaca_mulatta ENSMMUG00000010624
macaca_fascicularis ENSMFAG00000025252
theropithecus_gelada ENSTGEG00000004244
piliocolobus_tephrosceles ENSPTEG00000035935
rhinopithecus_bieti ENSRBIG00000016354
pan_paniscus ENSPPAG00000017906
pan_troglodytes ENSPTRG00000017893
gorilla_gorilla ENSGGOG00000023956
pan_troglodytes ENSPTRG00000044200
pan_paniscus ENSPPAG00000017644
gorilla_gorilla ENSGGOG00000008752
carlito_syrichta ENSTSYG00000026027
otolemur_garnettii ENSOGAG00000030878
castor_canadensis ENSCCNG00000008073
castor_canadensis ENSCCNG00000008071
castor_canadensis ENSCCNG00000008049
castor_canadensis ENSCCNG00000008040
castor_canadensis ENSCCNG00000008098
dipodomys_ordii ENSDORG00000013846
cricetulus_griseus_crigri-picr ENSCGRG00015020100
cricetulus_griseus_chok1gshd ENSCGRG00001013793
peromyscus_maniculatus_bairdii ENSPEMG00000026651
mus_spicilegus ENSMSIG00000000021
mus_musculus ENSMUSG00000095858
mus_spicilegus ENSMSIG00000022870
mus_musculus ENSMUSG00000095603
mus_spicilegus ENSMSIG00000000005
mus_musculus ENSMUSG00000094884
rattus_norvegicus ENSRNOG00000029883
nannospalax_galili ENSNGAG00000019088
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022491
mus_spicilegus ENSMSIG00000000037
mus_musculus ENSMUSG00000049618
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021581
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022489
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022490
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021580
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021579
mus_pahari MGP_PahariEiJ_G0020575
