oryzias_latipes ENSORLG00000029995
oryzias_latipes_asm223469v1 ENSORLG00015022295
oryzias_melastigma ENSOMEG00000005485
oryzias_melastigma ENSOMEG00000005493
fundulus_heteroclitus ENSFHEG00000009662
stegastes_partitus ENSSPAG00000018386
astatotilapia_calliptera ENSACLG00000006427
maylandia_zebra ENSMZEG00005018714
haplochromis_burtoni ENSHBUG00000020281
pundamilia_nyererei ENSPNYG00000016204
periophthalmus_magnuspinnatus ENSPMGG00000015727
periophthalmus_magnuspinnatus ENSPMGG00000016826
periophthalmus_magnuspinnatus ENSPMGG00000001830
mola_mola ENSMMOG00000015166
mola_mola ENSMMOG00000016329
monopterus_albus ENSMALG00000022334
scophthalmus_maximus ENSSMAG00000000906
