amphiprion_percula ENSAPEG00000009677
amphiprion_ocellaris ENSAOCG00000018698
acanthochromis_polyacanthus ENSAPOG00000001003
stegastes_partitus ENSSPAG00000009930
mastacembelus_armatus ENSMAMG00000014496
anabas_testudineus ENSATEG00000019482
monopterus_albus ENSMALG00000010437
xiphophorus_maculatus ENSXMAG00000004836
xiphophorus_couchianus ENSXCOG00000011714
gambusia_affinis ENSGAFG00000001878
poecilia_reticulata ENSPREG00000021952
fundulus_heteroclitus ENSFHEG00000015073
cyprinodon_variegatus ENSCVAG00000006649
kryptolebias_marmoratus ENSKMAG00000015625
oryzias_latipes ENSORLG00020018291
oryzias_latipes ENSORLG00000022423
oryzias_latipes_asm223469v1 ENSORLG00015013030
oryzias_melastigma ENSOMEG00000014678
astatotilapia_calliptera ENSACLG00000023964
haplochromis_burtoni ENSHBUG00000002215
maylandia_zebra ENSMZEG00005006773
pundamilia_nyererei ENSPNYG00000000117
neolamprologus_brichardi ENSNBRG00000020077
seriola_lalandi_dorsalis ENSSLDG00000023982
seriola_dumerili ENSSDUG00000011746
labrus_bergylta ENSLBEG00000015609
takifugu_rubripes ENSTRUG00000024165
periophthalmus_magnuspinnatus ENSPMGG00000015196
