scophthalmus_maximus ENSSMAG00000021201
cynoglossus_semilaevis ENSCSEG00000018637
seriola_lalandi_dorsalis ENSSLDG00000025202
seriola_dumerili ENSSDUG00000008144
hippocampus_comes ENSHCOG00000008106
mastacembelus_armatus ENSMAMG00000003794
monopterus_albus ENSMALG00000019290
anabas_testudineus ENSATEG00000014797
mola_mola ENSMMOG00000008297
labrus_bergylta ENSLBEG00000002042
gasterosteus_aculeatus ENSGACG00000008558
poecilia_latipinna ENSPLAG00000008739
poecilia_mexicana ENSPMEG00000014397
poecilia_formosa ENSPFOG00000001701
poecilia_reticulata ENSPREG00000000551
xiphophorus_maculatus ENSXMAG00000000733
xiphophorus_couchianus ENSXCOG00000007197
gambusia_affinis ENSGAFG00000011400
fundulus_heteroclitus ENSFHEG00000009461
cyprinodon_variegatus ENSCVAG00000000441
kryptolebias_marmoratus ENSKMAG00000006212
oryzias_latipes ENSORLG00020015873
oryzias_latipes_asm223469v1 ENSORLG00015011757
oryzias_latipes ENSORLG00000007858
oryzias_melastigma ENSOMEG00000002802
astatotilapia_calliptera ENSACLG00000024523
maylandia_zebra ENSMZEG00005016957
pundamilia_nyererei ENSPNYG00000018718
haplochromis_burtoni ENSHBUG00000000450
neolamprologus_brichardi ENSNBRG00000003785
oreochromis_niloticus ENSONIG00000012645
amphilophus_citrinellus ENSACIG00000005111
amphiprion_ocellaris ENSAOCG00000007900
amphiprion_percula ENSAPEG00000004739
acanthochromis_polyacanthus ENSAPOG00000023189
stegastes_partitus ENSSPAG00000003332
tetraodon_nigroviridis ENSTNIG00000010059
takifugu_rubripes ENSTRUG00000007160
periophthalmus_magnuspinnatus ENSPMGG00000016009
gadus_morhua ENSGMOG00000015198
esox_lucius ENSELUG00000012323
pygocentrus_nattereri ENSPNAG00000016853
astyanax_mexicanus ENSAMXG00000001244
ictalurus_punctatus ENSIPUG00000005521
danio_rerio ENSDARG00000098431
paramormyrops_kingsleyae ENSPKIG00000006912
scleropages_formosus ENSSFOG00015020731
lepisosteus_oculatus ENSLOCG00000001385
