spermophilus_dauricus ENSSDAG00000018263
urocitellus_parryii ENSUPAG00010020107
marmota_marmota_marmota ENSMMMG00000014220
fukomys_damarensis ENSFDAG00000011014
peromyscus_maniculatus_bairdii ENSPEMG00000028732
cricetulus_griseus_crigri-picr ENSCGRG00015004982
mus_musculus ENSMUSG00000076759
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002335
mus_spicilegus ENSMSIG00000005918
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002215
mus_pahari MGP_PahariEiJ_G0002068
meriones_unguiculatus ENSMUGG00000007145
oryctolagus_cuniculus ENSOCUG00000023519
equus_caballus ENSECAG00000024800
equus_caballus ENSECAG00000031454
equus_asinus_asinus ENSEASG00005011597
felis_catus ENSFCAG00000043817
bison_bison_bison ENSBBBG00000001583
bison_bison_bison ENSBBBG00000000299
bos_taurus ENSBTAG00000048889
bos_mutus ENSBMUG00000007480
ovis_aries ENSOARG00000019603
sus_scrofa ENSSSCG00000035110
pan_paniscus ENSPPAG00000024213
gorilla_gorilla ENSGGOG00000040763
homo_sapiens ENSG00000211778
pongo_abelii ENSPPYG00000005608
nomascus_leucogenys ENSNLEG00000031915
theropithecus_gelada ENSTGEG00000016821
cercocebus_atys ENSCATG00000016369
macaca_mulatta ENSMMUG00000021106
chlorocebus_sabaeus ENSCSAG00000016438
colobus_angolensis_palliatus ENSCANG00000017982
saimiri_boliviensis_boliviensis ENSSBOG00000017635
prolemur_simus ENSPSMG00000010317
dasypus_novemcinctus ENSDNOG00000045309
sus_scrofa ENSSSCG00000033515
sus_scrofa ENSSSCG00000032714
sus_scrofa ENSSSCG00000035351
sus_scrofa ENSSSCG00000034565
sus_scrofa ENSSSCG00000031200
bos_mutus ENSBMUG00000010218
bos_taurus ENSBTAG00000050533
ovis_aries ENSOARG00000002270
bos_mutus ENSBMUG00000009560
bos_taurus ENSBTAG00000050711
equus_caballus ENSECAG00000038678
equus_asinus_asinus ENSEASG00005011627
myotis_lucifugus ENSMLUG00000027997
cebus_capucinus ENSCCAG00000035723
saimiri_boliviensis_boliviensis ENSSBOG00000018975
callithrix_jacchus ENSCJAG00000045326
homo_sapiens ENSG00000211807
monodelphis_domestica ENSMODG00000005680
phascolarctos_cinereus ENSPCIG00000031138
ornithorhynchus_anatinus ENSOANG00000010742
pogona_vitticeps ENSPVIG00000003342
pogona_vitticeps ENSPVIG00000003346
salvator_merianae ENSSMRG00000005087
pogona_vitticeps ENSPVIG00000003335
sphenodon_punctatus ENSSPUG00000005975
chrysemys_picta_bellii ENSCPBG00000003275
chrysemys_picta_bellii ENSCPBG00000022419
chrysemys_picta_bellii ENSCPBG00000008237
chelonoidis_abingdonii ENSCABG00000010996
apteryx_haastii ENSAHAG00000009052
apteryx_owenii ENSAOWG00000003327
apteryx_owenii ENSAOWG00000001950
dromaius_novaehollandiae ENSDNVG00000006666
numida_meleagris ENSNMEG00000006537
numida_meleagris ENSNMEG00000002790
numida_meleagris ENSNMEG00000006535
numida_meleagris ENSNMEG00000004178
gallus_gallus ENSGALG00000049483
gallus_gallus ENSGALG00000048919
meleagris_gallopavo ENSMGAG00000015890
coturnix_japonica ENSCJPG00005018979
numida_meleagris ENSNMEG00000004173
gallus_gallus ENSGALG00000042956
gallus_gallus ENSGALG00000050359
numida_meleagris ENSNMEG00000004176
gallus_gallus ENSGALG00000036395
numida_meleagris ENSNMEG00000000719
coturnix_japonica ENSCJPG00005018969
numida_meleagris ENSNMEG00000002148
gallus_gallus ENSGALG00000048288
coturnix_japonica ENSCJPG00005018985
coturnix_japonica ENSCJPG00005018986
coturnix_japonica ENSCJPG00005001791
coturnix_japonica ENSCJPG00005018991
coturnix_japonica ENSCJPG00005018989
gallus_gallus ENSGALG00000053628
anas_platyrhynchos_platyrhynchos ENSAPLG00000022509
anas_platyrhynchos_platyrhynchos ENSAPLG00000000686
ficedula_albicollis ENSFALG00000014155
cyanistes_caeruleus ENSCCEG00000001094
lonchura_striata_domestica ENSLSDG00000000818
lonchura_striata_domestica ENSLSDG00000000812
lonchura_striata_domestica ENSLSDG00000001951
taeniopygia_guttata ENSTGUG00000003008
junco_hyemalis ENSJHYG00000007722
serinus_canaria ENSSCAG00000012716
lonchura_striata_domestica ENSLSDG00000004001
serinus_canaria ENSSCAG00000001769
serinus_canaria ENSSCAG00000012725
junco_hyemalis ENSJHYG00000007734
lonchura_striata_domestica ENSLSDG00000002642
lepidothrix_coronata ENSLCOG00000009890
manacus_vitellinus ENSMVIG00005018805
calidris_pygmaea ENSCPGG00000017186
calidris_pygmaea ENSCPGG00000007483
calidris_pygmaea ENSCPGG00000019549
calidris_pygmaea ENSCPGG00000017658
calidris_pygmaea ENSCPGG00000008802
calidris_pygmaea ENSCPGG00000009272
calidris_pygmaea ENSCPGG00000008805
calidris_pugnax ENSCPUG00000001721
calidris_pygmaea ENSCPGG00000003054
calidris_pugnax ENSCPUG00000008206
calidris_pygmaea ENSCPGG00000007126
calidris_pugnax ENSCPUG00000001233
manacus_vitellinus ENSMVIG00005006971
melopsittacus_undulatus ENSMUNG00000002381
melopsittacus_undulatus ENSMUNG00000006452
melopsittacus_undulatus ENSMUNG00000002349
latimeria_chalumnae ENSLACG00000015680
latimeria_chalumnae ENSLACG00000015623
