mastacembelus_armatus ENSMAMG00000019066
monopterus_albus ENSMALG00000004089
anabas_testudineus ENSATEG00000009979
hippocampus_comes ENSHCOG00000001661
scophthalmus_maximus ENSSMAG00000000454
cynoglossus_semilaevis ENSCSEG00000009532
labrus_bergylta ENSLBEG00000028736
periophthalmus_magnuspinnatus ENSPMGG00000019726
xiphophorus_couchianus ENSXCOG00000008311
xiphophorus_maculatus ENSXMAG00000027238
gambusia_affinis ENSGAFG00000014935
poecilia_mexicana ENSPMEG00000009062
cyprinodon_variegatus ENSCVAG00000016745
fundulus_heteroclitus ENSFHEG00000021835
kryptolebias_marmoratus ENSKMAG00000008174
oryzias_latipes ENSORLG00020018416
oryzias_latipes ENSORLG00000023324
oryzias_latipes_asm223469v1 ENSORLG00015014502
oryzias_melastigma ENSOMEG00000004253
astatotilapia_calliptera ENSACLG00000018389
astatotilapia_calliptera ENSACLG00000018725
maylandia_zebra ENSMZEG00005017758
pundamilia_nyererei ENSPNYG00000005660
haplochromis_burtoni ENSHBUG00000003114
neolamprologus_brichardi ENSNBRG00000010505
amphilophus_citrinellus ENSACIG00000011130
amphiprion_ocellaris ENSAOCG00000003670
amphiprion_percula ENSAPEG00000014304
acanthochromis_polyacanthus ENSAPOG00000016730
stegastes_partitus ENSSPAG00000020903
esox_lucius ENSELUG00000001949
