mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029053
mus_musculus ENSMUSG00000029657
mus_spicilegus ENSMSIG00000022895
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028055
mus_pahari MGP_PahariEiJ_G0024621
rattus_norvegicus ENSRNOG00000000902
microtus_ochrogaster ENSMOCG00000019013
peromyscus_maniculatus_bairdii ENSPEMG00000009941
cricetulus_griseus_chok1gshd ENSCGRG00001021270
cricetulus_griseus_crigri-picr ENSCGRG00015017753
cricetulus_griseus_crigri ENSCGRG00000005664
mesocricetus_auratus ENSMAUG00000002443
nannospalax_galili ENSNGAG00000014918
jaculus_jaculus ENSJJAG00000000436
dipodomys_ordii ENSDORG00000014903
castor_canadensis ENSCCNG00000001997
heterocephalus_glaber_female ENSHGLG00000006908
heterocephalus_glaber_male ENSHGLG00100017067
fukomys_damarensis ENSFDAG00000018576
chinchilla_lanigera ENSCLAG00000004472
octodon_degus ENSODEG00000005577
cavia_porcellus ENSCPOG00000007441
cavia_aperea ENSCAPG00000008996
cavia_porcellus ENSCPOG00000035549
cavia_aperea ENSCAPG00000000769
urocitellus_parryii ENSUPAG00010000704
spermophilus_dauricus ENSSDAG00000006310
ictidomys_tridecemlineatus ENSSTOG00000001700
marmota_marmota_marmota ENSMMMG00000021945
oryctolagus_cuniculus ENSOCUG00000014773
ochotona_princeps ENSOPRG00000008462
tupaia_belangeri ENSTBEG00000004988
prolemur_simus ENSPSMG00000017725
microcebus_murinus ENSMICG00000011892
otolemur_garnettii ENSOGAG00000009898
pan_troglodytes ENSPTRG00000005760
pan_paniscus ENSPPAG00000012606
gorilla_gorilla ENSGGOG00000015313
pongo_abelii ENSPPYG00000005258
nomascus_leucogenys ENSNLEG00000000827
mandrillus_leucophaeus ENSMLEG00000030837
cercocebus_atys ENSCATG00000045191
macaca_fascicularis ENSMFAG00000018638
theropithecus_gelada ENSTGEG00000021321
macaca_nemestrina ENSMNEG00000032386
chlorocebus_sabaeus ENSCSAG00000017943
colobus_angolensis_palliatus ENSCANG00000041673
piliocolobus_tephrosceles ENSPTEG00000020476
rhinopithecus_roxellana ENSRROG00000032648
cebus_capucinus ENSCCAG00000029147
saimiri_boliviensis_boliviensis ENSSBOG00000021221
aotus_nancymaae ENSANAG00000021833
macaca_mulatta ENSMMUG00000013707
papio_anubis ENSPANG00000012232
rhinopithecus_bieti ENSRBIG00000034746
homo_sapiens ENSG00000120694
callithrix_jacchus ENSCJAG00000018597
carlito_syrichta ENSTSYG00000005195
bos_mutus ENSBMUG00000022797
bos_taurus ENSBTAG00000005012
bison_bison_bison ENSBBBG00000002517
capra_hircus ENSCHIG00000003518
ovis_aries ENSOARG00000011756
tursiops_truncatus ENSTTRG00000001598
sus_scrofa ENSSSCG00000009334
vicugna_pacos ENSVPAG00000010879
equus_asinus_asinus ENSEASG00005022374
equus_caballus ENSECAG00000018428
ursus_americanus ENSUAMG00000020153
ursus_maritimus ENSUMAG00000017368
ailuropoda_melanoleuca ENSAMEG00000008784
neovison_vison ENSNVIG00000000025
mustela_putorius_furo ENSMPUG00000004482
canis_lupus_dingo ENSCAFG00020025091
canis_lupus_familiaris ENSCAFG00000006538
vulpes_vulpes ENSVVUG00000010061
panthera_pardus ENSPPRG00000005057
panthera_tigris_altaica ENSPTIG00000013145
felis_catus ENSFCAG00000007547
sorex_araneus ENSSARG00000011643
sorex_araneus ENSSARG00000005272
erinaceus_europaeus ENSEEUG00000001936
propithecus_coquereli ENSPCOG00000027960
saimiri_boliviensis_boliviensis ENSSBOG00000026350
pteropus_vampyrus ENSPVAG00000000071
loxodonta_africana ENSLAFG00000015956
procavia_capensis ENSPCAG00000006082
myotis_lucifugus ENSMLUG00000007926
choloepus_hoffmanni ENSCHOG00000013998
dasypus_novemcinctus ENSDNOG00000003319
phascolarctos_cinereus ENSPCIG00000026812
notamacropus_eugenii ENSMEUG00000005495
sarcophilus_harrisii ENSSHAG00000016697
monodelphis_domestica ENSMODG00000009347
ornithorhynchus_anatinus ENSOANG00000015474
echinops_telfairi ENSETEG00000020264
calidris_pygmaea ENSCPGG00000009529
calidris_pugnax ENSCPUG00000013274
melopsittacus_undulatus ENSMUNG00000005149
lonchura_striata_domestica ENSLSDG00000018075
taeniopygia_guttata ENSTGUG00000011712
zonotrichia_albicollis ENSZALG00000011632
junco_hyemalis ENSJHYG00000011725
ficedula_albicollis ENSFALG00000008492
serinus_canaria ENSSCAG00000006925
parus_major ENSPMJG00000017446
cyanistes_caeruleus ENSCCEG00000023602
lepidothrix_coronata ENSLCOG00000003789
manacus_vitellinus ENSMVIG00005001717
anser_brachyrhynchus ENSABRG00000020015
anas_platyrhynchos_platyrhynchos ENSAPLG00000005104
meleagris_gallopavo ENSMGAG00000015083
coturnix_japonica ENSCJPG00005020418
gallus_gallus ENSGALG00000017077
numida_meleagris ENSNMEG00000019353
apteryx_owenii ENSAOWG00000009614
apteryx_rowi ENSARWG00000014347
apteryx_haastii ENSAHAG00000000554
dromaius_novaehollandiae ENSDNVG00000004397
nothoprocta_perdicaria ENSNPEG00000010777
crocodylus_porosus ENSCPRG00005011679
gopherus_agassizii ENSGAGG00000021566
chelonoidis_abingdonii ENSCABG00000008095
chrysemys_picta_bellii ENSCPBG00000020414
pelodiscus_sinensis ENSPSIG00000008548
pogona_vitticeps ENSPVIG00000020964
anolis_carolinensis ENSACAG00000004925
notechis_scutatus ENSNSUG00000012843
salvator_merianae ENSSMRG00000013097
xenopus_tropicalis ENSXETG00000019175
paramormyrops_kingsleyae ENSPKIG00000000734
paramormyrops_kingsleyae ENSPKIG00000000711
scleropages_formosus ENSSFOG00015001796
pygocentrus_nattereri ENSPNAG00000001224
astyanax_mexicanus ENSAMXG00000014428
danio_rerio ENSDARG00000019874
lepisosteus_oculatus ENSLOCG00000000380
eptatretus_burgeri ENSEBUG00000007939
