zonotrichia_albicollis ENSZALG00000014635
serinus_canaria ENSSCAG00000016824
cyanistes_caeruleus ENSCCEG00000016902
lepidothrix_coronata ENSLCOG00000011609
melopsittacus_undulatus ENSMUNG00000009203
anas_platyrhynchos_platyrhynchos ENSAPLG00000016877
anas_platyrhynchos_platyrhynchos ENSAPLG00000016479
numida_meleagris ENSNMEG00000003888
coturnix_japonica ENSCJPG00005006435
calidris_pugnax ENSCPUG00000001681
apteryx_owenii ENSAOWG00000009038
apteryx_owenii ENSAOWG00000016789
apteryx_haastii ENSAHAG00000007556
apteryx_rowi ENSARWG00000017806
dromaius_novaehollandiae ENSDNVG00000016648
nothoprocta_perdicaria ENSNPEG00000013212
nothoprocta_perdicaria ENSNPEG00000013204
