urocitellus_parryii ENSUPAG00010016636
spermophilus_dauricus ENSSDAG00000006598
ictidomys_tridecemlineatus ENSSTOG00000011454
marmota_marmota_marmota ENSMMMG00000020240
heterocephalus_glaber_female ENSHGLG00000008731
microtus_ochrogaster ENSMOCG00000019760
peromyscus_maniculatus_bairdii ENSPEMG00000001863
cricetulus_griseus_chok1gshd ENSCGRG00001022226
cricetulus_griseus_crigri-picr ENSCGRG00015018524
cricetulus_griseus_crigri ENSCGRG00000004484
dasypus_novemcinctus ENSDNOG00000043135
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015312
mus_musculus ENSMUSG00000070695
mus_spicilegus ENSMSIG00000024321
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014505
rattus_norvegicus ENSRNOG00000043185
mus_musculus ENSMUSG00000038048
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022728
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021817
mus_spicilegus ENSMSIG00000011785
mus_pahari MGP_PahariEiJ_G0020805
rattus_norvegicus ENSRNOG00000032206
mus_spicilegus ENSMSIG00000024827
mus_musculus ENSMUSG00000067028
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015284
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014480
rattus_norvegicus ENSRNOG00000029556
nannospalax_galili ENSNGAG00000007361
jaculus_jaculus ENSJJAG00000022119
jaculus_jaculus ENSJJAG00000018667
myotis_lucifugus ENSMLUG00000025464
sus_scrofa ENSSSCG00000036368
ornithorhynchus_anatinus ENSOANG00000002755
