poecilia_latipinna ENSPLAG00000008647
poecilia_formosa ENSPFOG00000014118
poecilia_reticulata ENSPREG00000005502
xiphophorus_maculatus ENSXMAG00000023835
xiphophorus_couchianus ENSXCOG00000001803
gambusia_affinis ENSGAFG00000004213
cyprinodon_variegatus ENSCVAG00000002791
fundulus_heteroclitus ENSFHEG00000007441
kryptolebias_marmoratus ENSKMAG00000016087
acanthochromis_polyacanthus ENSAPOG00000003421
periophthalmus_magnuspinnatus ENSPMGG00000000842
hippocampus_comes ENSHCOG00000005374
cynoglossus_semilaevis ENSCSEG00000002906
takifugu_rubripes ENSTRUG00000017461
tetraodon_nigroviridis ENSTNIG00000016961
gasterosteus_aculeatus ENSGACG00000004421
scophthalmus_maximus ENSSMAG00000015360
mola_mola ENSMMOG00000000478
labrus_bergylta ENSLBEG00000016933
astatotilapia_calliptera ENSACLG00000008429
maylandia_zebra ENSMZEG00005004514
haplochromis_burtoni ENSHBUG00000019959
pundamilia_nyererei ENSPNYG00000008651
neolamprologus_brichardi ENSNBRG00000010922
oreochromis_niloticus ENSONIG00000008590
amphilophus_citrinellus ENSACIG00000020221
oryzias_latipes_asm223469v1 ENSORLG00015014695
oryzias_latipes ENSORLG00020020584
oryzias_latipes ENSORLG00000024999
oryzias_melastigma ENSOMEG00000004995
mastacembelus_armatus ENSMAMG00000006431
monopterus_albus ENSMALG00000009966
anabas_testudineus ENSATEG00000015193
seriola_dumerili ENSSDUG00000000510
seriola_lalandi_dorsalis ENSSLDG00000000529
amphiprion_ocellaris ENSAOCG00000000142
amphiprion_percula ENSAPEG00000022643
stegastes_partitus ENSSPAG00000008821
acanthochromis_polyacanthus ENSAPOG00000019653
gadus_morhua ENSGMOG00000004113
esox_lucius ENSELUG00000023192
astyanax_mexicanus ENSAMXG00000007277
pygocentrus_nattereri ENSPNAG00000021682
ictalurus_punctatus ENSIPUG00000019607
danio_rerio ENSDARG00000063732
paramormyrops_kingsleyae ENSPKIG00000022607
scleropages_formosus ENSSFOG00015001871
lepisosteus_oculatus ENSLOCG00000006915
tupaia_belangeri ENSTBEG00000008369
otolemur_garnettii ENSOGAG00000013191
heterocephalus_glaber_male ENSHGLG00100001392
cricetulus_griseus_crigri ENSCGRG00000007225
oryctolagus_cuniculus ENSOCUG00000008038
ailuropoda_melanoleuca ENSAMEG00000000902
erinaceus_europaeus ENSEEUG00000011839
dasypus_novemcinctus ENSDNOG00000016006
echinops_telfairi ENSETEG00000013418
notamacropus_eugenii ENSMEUG00000000359
monodelphis_domestica ENSMODG00000009730
sphenodon_punctatus ENSSPUG00000005529
salvator_merianae ENSSMRG00000018228
numida_meleagris ENSNMEG00000022211
meleagris_gallopavo ENSMGAG00000009612
anas_platyrhynchos_platyrhynchos ENSAPLG00000010831
lonchura_striata_domestica ENSLSDG00000010999
taeniopygia_guttata ENSTGUG00000009073
serinus_canaria ENSSCAG00000016248
junco_hyemalis ENSJHYG00000012381
parus_major ENSPMJG00000018406
lepidothrix_coronata ENSLCOG00000016290
calidris_pygmaea ENSCPGG00000017075
calidris_pugnax ENSCPUG00000005002
melopsittacus_undulatus ENSMUNG00000007882
dromaius_novaehollandiae ENSDNVG00000017362
nothoprocta_perdicaria ENSNPEG00000015027
crocodylus_porosus ENSCPRG00005013750
chelonoidis_abingdonii ENSCABG00000018026
gopherus_agassizii ENSGAGG00000017619
chrysemys_picta_bellii ENSCPBG00000003283
pelodiscus_sinensis ENSPSIG00000002895
xenopus_tropicalis ENSXETG00000008465
latimeria_chalumnae ENSLACG00000011387
