caenorhabditis_elegans WBGene00012393
drosophila_melanogaster FBgn0052075
pogona_vitticeps ENSPVIG00000005602
anolis_carolinensis ENSACAG00000013567
notechis_scutatus ENSNSUG00000007990
salvator_merianae ENSSMRG00000012154
sphenodon_punctatus ENSSPUG00000014164
gallus_gallus ENSGALG00000043447
meleagris_gallopavo ENSMGAG00000000760
coturnix_japonica ENSCJPG00005002926
numida_meleagris ENSNMEG00000010963
anas_platyrhynchos ENSAPLG00000003903
anser_brachyrhynchus ENSABRG00000000761
calidris_pygmaea ENSCPGG00000007082
calidris_pugnax ENSCPUG00000000370
parus_major ENSPMJG00000008024
cyanistes_caeruleus ENSCCEG00000011674
ficedula_albicollis ENSFALG00000004287
serinus_canaria ENSSCAG00000017373
lonchura_striata ENSLSDG00000005368
taeniopygia_guttata ENSTGUG00000002840
lepidothrix_coronata ENSLCOG00000004421
manacus_vitellinus ENSMVIG00005001065
junco_hyemalis ENSJHYG00000015126
zonotrichia_albicollis ENSZALG00000014255
apteryx_haastii ENSAHAG00000008775
apteryx_rowi ENSARWG00000007588
apteryx_owenii ENSAOWG00000001908
dromaius_novaehollandiae ENSDNVG00000006137
nothoprocta_perdicaria ENSNPEG00000014172
crocodylus_porosus ENSCPRG00005008978
gopherus_agassizii ENSGAGG00000005577
chelonoidis_abingdonii ENSCABG00000012751
chelonoidis_abingdonii ENSCABG00000012750
chrysemys_picta ENSCPBG00000006993
pelodiscus_sinensis ENSPSIG00000016596
rhinopithecus_bieti ENSRBIG00000027629
rhinopithecus_roxellana ENSRROG00000030739
colobus_angolensis ENSCANG00000033334
piliocolobus_tephrosceles ENSPTEG00000005103
macaca_mulatta ENSMMUG00000003922
macaca_fascicularis ENSMFAG00000039204
macaca_nemestrina ENSMNEG00000039412
cercocebus_atys ENSCATG00000033406
papio_anubis ENSPANG00000005318
mandrillus_leucophaeus ENSMLEG00000033759
theropithecus_gelada ENSTGEG00000009028
chlorocebus_sabaeus ENSCSAG00000011953
homo_sapiens ENSG00000001497
gorilla_gorilla ENSGGOG00000008739
pan_troglodytes ENSPTRG00000021970
pan_paniscus ENSPPAG00000034161
pongo_abelii ENSPPYG00000020417
nomascus_leucogenys ENSNLEG00000000386
cebus_capucinus ENSCCAG00000030149
callithrix_jacchus ENSCJAG00000001434
saimiri_boliviensis ENSSBOG00000029097
aotus_nancymaae ENSANAG00000024900
carlito_syrichta ENSTSYG00000014655
propithecus_coquereli ENSPCOG00000023037
microcebus_murinus ENSMICG00000010703
otolemur_garnettii ENSOGAG00000016065
heterocephalus_glaber ENSHGLG00000002770
heterocephalus_glaber ENSHGLG00100009166
fukomys_damarensis ENSFDAG00000006785
chinchilla_lanigera ENSCLAG00000006717
octodon_degus ENSODEG00000003001
cavia_porcellus ENSCPOG00000014261
spermophilus_dauricus ENSSDAG00000010899
marmota_marmota ENSMMMG00000022275
urocitellus_parryii ENSUPAG00010023079
ictidomys_tridecemlineatus ENSSTOG00000028104
castor_canadensis ENSCCNG00000005682
dipodomys_ordii ENSDORG00000001130
cricetulus_griseus ENSCGRG00015015592
cricetulus_griseus ENSCGRG00000007678
cricetulus_griseus ENSCGRG00001023388
mesocricetus_auratus ENSMAUG00000012113
peromyscus_maniculatus ENSPEMG00000001210
microtus_ochrogaster ENSMOCG00000019612
mus_spicilegus ENSMSIG00000008910
mus_musculus ENSMUSG00000057421
mus_spretus MGP_SPRETEiJ_G0034414
mus_caroli MGP_CAROLIEiJ_G0033249
mus_pahari MGP_PahariEiJ_G0031788
rattus_norvegicus ENSRNOG00000021748
nannospalax_galili ENSNGAG00000015256
jaculus_jaculus ENSJJAG00000015634
oryctolagus_cuniculus ENSOCUG00000006760
tupaia_belangeri ENSTBEG00000011731
capra_hircus ENSCHIG00000017380
ovis_aries ENSOARG00000004973
bos_indicus ENSBIXG00005015030
bos_indicus ENSBIXG00000028831
bos_taurus ENSBTAG00000002210
bos_mutus ENSBMUG00000022259
tursiops_truncatus ENSTTRG00000007470
sus_scrofa ENSSSCG00000012366
pteropus_vampyrus ENSPVAG00000017355
equus_caballus ENSECAG00000021891
equus_asinus ENSEASG00005006987
ursus_maritimus ENSUMAG00000017063
ursus_maritimus ENSUMAG00000017059
ursus_americanus ENSUAMG00000005101
ailuropoda_melanoleuca ENSAMEG00000006932
neovison_vison ENSNVIG00000017167
mustela_putorius ENSMPUG00000001165
canis_lupus ENSCAFG00000016570
canis_lupus ENSCAFG00020017999
vulpes_vulpes ENSVVUG00000022702
panthera_tigris ENSPTIG00000005666
panthera_pardus ENSPPRG00000005158
felis_catus ENSFCAG00000007060
myotis_lucifugus ENSMLUG00000013640
erinaceus_europaeus ENSEEUG00000011393
sorex_araneus ENSSARG00000013410
dasypus_novemcinctus ENSDNOG00000038219
procavia_capensis ENSPCAG00000016467
echinops_telfairi ENSETEG00000012097
loxodonta_africana ENSLAFG00000000915
ornithorhynchus_anatinus ENSOANG00000003054
vombatus_ursinus ENSVURG00010004011
notamacropus_eugenii ENSMEUG00000012762
phascolarctos_cinereus ENSPCIG00000020273
