ursus_americanus ENSUAMG00000021585
neovison_vison ENSNVIG00000005760
canis_lupus_dingo ENSCAFG00020005948
rhinopithecus_bieti ENSRBIG00000039901
rhinopithecus_roxellana ENSRROG00000005464
macaca_nemestrina ENSMNEG00000031862
macaca_mulatta ENSMMUG00000021157
macaca_fascicularis ENSMFAG00000036868
mandrillus_leucophaeus ENSMLEG00000042183
papio_anubis ENSPANG00000007688
chlorocebus_sabaeus ENSCSAG00000010664
ornithorhynchus_anatinus ENSOANG00000031646
lepidothrix_coronata ENSLCOG00000010239
manacus_vitellinus ENSMVIG00005012570
serinus_canaria ENSSCAG00000007256
apteryx_owenii ENSAOWG00000007265
chelonoidis_abingdonii ENSCABG00000004472
pogona_vitticeps ENSPVIG00000018349
