ictidomys_tridecemlineatus ENSSTOG00000031778
ornithorhynchus_anatinus ENSOANG00000030037
gopherus_agassizii ENSGAGG00000022083
chelonoidis_abingdonii ENSCABG00000009040
chrysemys_picta_bellii ENSCPBG00000012097
pelodiscus_sinensis ENSPSIG00000011754
crocodylus_porosus ENSCPRG00005005282
xenopus_tropicalis ENSXETG00000017410
latimeria_chalumnae ENSLACG00000011461
ornithorhynchus_anatinus ENSOANG00000021120
tetraodon_nigroviridis ENSTNIG00000009425
takifugu_rubripes ENSTRUG00000017243
mola_mola ENSMMOG00000017750
gasterosteus_aculeatus ENSGACG00000015392
labrus_bergylta ENSLBEG00000011196
seriola_dumerili ENSSDUG00000006744
seriola_lalandi_dorsalis ENSSLDG00000000443
scophthalmus_maximus ENSSMAG00000021338
mastacembelus_armatus ENSMAMG00000002570
monopterus_albus ENSMALG00000016613
anabas_testudineus ENSATEG00000012069
fundulus_heteroclitus ENSFHEG00000018001
cyprinodon_variegatus ENSCVAG00000015278
xiphophorus_couchianus ENSXCOG00000003173
xiphophorus_maculatus ENSXMAG00000019040
gambusia_affinis ENSGAFG00000012404
poecilia_formosa ENSPFOG00000007824
poecilia_latipinna ENSPLAG00000008493
poecilia_mexicana ENSPMEG00000008696
poecilia_reticulata ENSPREG00000022450
kryptolebias_marmoratus ENSKMAG00000000654
oryzias_latipes_asm223469v1 ENSORLG00015013993
oryzias_latipes ENSORLG00020015411
oryzias_latipes ENSORLG00000005424
oryzias_melastigma ENSOMEG00000017520
maylandia_zebra ENSMZEG00005002438
astatotilapia_calliptera ENSACLG00000024827
pundamilia_nyererei ENSPNYG00000004404
haplochromis_burtoni ENSHBUG00000002591
neolamprologus_brichardi ENSNBRG00000017429
oreochromis_niloticus ENSONIG00000003074
amphilophus_citrinellus ENSACIG00000021709
amphiprion_ocellaris ENSAOCG00000003659
amphiprion_percula ENSAPEG00000019928
acanthochromis_polyacanthus ENSAPOG00000024536
stegastes_partitus ENSSPAG00000017626
cynoglossus_semilaevis ENSCSEG00000005711
hippocampus_comes ENSHCOG00000003865
periophthalmus_magnuspinnatus ENSPMGG00000013957
gadus_morhua ENSGMOG00000001257
esox_lucius ENSELUG00000009882
pygocentrus_nattereri ENSPNAG00000000926
astyanax_mexicanus ENSAMXG00000039437
ictalurus_punctatus ENSIPUG00000023479
danio_rerio ENSDARG00000077570
scleropages_formosus ENSSFOG00015016462
lepisosteus_oculatus ENSLOCG00000004983
