denticeps_clupeoides ENSDCDG00000019538
clupea_harengus ENSCHAG00000014231
astyanax_mexicanus ENSAMXG00000019848
astyanax_mexicanus ENSAMXG00005006114
electrophorus_electricus ENSEEEG00000007314
pygocentrus_nattereri ENSPNAG00000002568
pygocentrus_nattereri ENSPNAG00000002579
electrophorus_electricus ENSEEEG00000009662
ictalurus_punctatus ENSIPUG00000003405
danio_rerio ENSDARG00000060597
lates_calcarifer ENSLCAG00010001368
lates_calcarifer ENSLCAG00010007283
seriola_dumerili ENSSDUG00000007928
amphiprion_percula ENSAPEG00000021120
amphiprion_ocellaris ENSAOCG00000018526
acanthochromis_polyacanthus ENSAPOG00000004444
mastacembelus_armatus ENSMAMG00000011531
larimichthys_crocea ENSLCRG00005003480
labrus_bergylta ENSLBEG00000027326
tetraodon_nigroviridis ENSTNIG00000002862
tetraodon_nigroviridis ENSTNIG00000002216
tetraodon_nigroviridis ENSTNIG00000003819
mola_mola ENSMMOG00000018481
cottoperca_gobio ENSCGOG00000016639
fundulus_heteroclitus ENSFHEG00000000966
cyprinodon_variegatus ENSCVAG00000019447
gambusia_affinis ENSGAFG00000008305
xiphophorus_maculatus ENSXMAG00000008573
poecilia_formosa ENSPFOG00000022926
poecilia_formosa ENSPFOG00000000426
poecilia_mexicana ENSPMEG00000012944
poecilia_reticulata ENSPREG00000002333
kryptolebias_marmoratus ENSKMAG00000003563
maylandia_zebra ENSMZEG00005009685
maylandia_zebra ENSMZEG00005009653
astatotilapia_calliptera ENSACLG00000013639
neolamprologus_brichardi ENSNBRG00000003535
oreochromis_niloticus ENSONIG00000017919
amphilophus_citrinellus ENSACIG00000023400
parambassis_ranga ENSPRNG00000017922
gasterosteus_aculeatus ENSGACG00000001192
tetraodon_nigroviridis ENSTNIG00000007205
poecilia_latipinna ENSPLAG00000005712
poecilia_latipinna ENSPLAG00000005677
stegastes_partitus ENSSPAG00000002208
hippocampus_comes ENSHCOG00000002897
hippocampus_comes ENSHCOG00000002873
pundamilia_nyererei ENSPNYG00000019564
pundamilia_nyererei ENSPNYG00000019529
haplochromis_burtoni ENSHBUG00000021564
haplochromis_burtoni ENSHBUG00000000775
takifugu_rubripes ENSTRUG00000022405
stegastes_partitus ENSSPAG00000002241
scophthalmus_maximus ENSSMAG00000003479
periophthalmus_magnuspinnatus ENSPMGG00000015854
seriola_lalandi ENSSLDG00000019936
esox_lucius ENSELUG00000001780
gadus_morhua ENSGMOG00000010641
paramormyrops_kingsleyae ENSPKIG00000021676
scleropages_formosus ENSSFOG00015022067
lepisosteus_oculatus ENSLOCG00000013570
erpetoichthys_calabaricus ENSECRG00000007639
pelodiscus_sinensis ENSPSIG00000007352
pelodiscus_sinensis ENSPSIG00000007277
latimeria_chalumnae ENSLACG00000011888
ornithorhynchus_anatinus ENSOANG00000020579
