chinchilla_lanigera ENSCLAG00000000061
cavia_porcellus ENSCPOG00000034757
bos_taurus ENSBTAG00000048525
bos_mutus ENSBMUG00000017844
bison_bison_bison ENSBBBG00000020221
ursus_americanus ENSUAMG00000014944
microcebus_murinus ENSMICG00000046614
propithecus_coquereli ENSPCOG00000027431
homo_sapiens ENSG00000205572
homo_sapiens ENSG00000172058
pan_paniscus ENSPPAG00000038405
gorilla_gorilla ENSGGOG00000023564
gorilla_gorilla ENSGGOG00000039188
nomascus_leucogenys ENSNLEG00000004470
piliocolobus_tephrosceles ENSPTEG00000006902
colobus_angolensis_palliatus ENSCANG00000035864
rhinopithecus_bieti ENSRBIG00000044524
rhinopithecus_roxellana ENSRROG00000038080
macaca_mulatta ENSMMUG00000048478
macaca_nemestrina ENSMNEG00000031009
theropithecus_gelada ENSTGEG00000019817
cercocebus_atys ENSCATG00000038634
mandrillus_leucophaeus ENSMLEG00000020172
cebus_capucinus ENSCCAG00000031324
callithrix_jacchus ENSCJAG00000040035
aotus_nancymaae ENSANAG00000026832
pan_troglodytes ENSPTRG00000052252
oryctolagus_cuniculus ENSOCUG00000025836
heterocephalus_glaber_female ENSHGLG00000020286
heterocephalus_glaber_female ENSHGLG00000021252
heterocephalus_glaber_male ENSHGLG00100020110
heterocephalus_glaber_female ENSHGLG00000000633
heterocephalus_glaber_male ENSHGLG00100009114
heterocephalus_glaber_female ENSHGLG00000021376
heterocephalus_glaber_male ENSHGLG00100019742
fukomys_damarensis ENSFDAG00000009081
octodon_degus ENSODEG00000016322
callithrix_jacchus ENSCJAG00000034789
prolemur_simus ENSPSMG00000019613
microcebus_murinus ENSMICG00000036427
panthera_tigris_altaica ENSPTIG00000007240
panthera_pardus ENSPPRG00000006137
felis_catus ENSFCAG00000039482
ursus_maritimus ENSUMAG00000007834
ursus_americanus ENSUAMG00000024945
neovison_vison ENSNVIG00000014604
canis_lupus_dingo ENSCAFG00020019224
vulpes_vulpes ENSVVUG00000026408
bos_mutus ENSBMUG00000023572
bos_taurus ENSBTAG00000034360
bison_bison_bison ENSBBBG00000013845
capra_hircus ENSCHIG00000019956
ovis_aries ENSOARG00000008562
equus_caballus ENSECAG00000039271
equus_asinus_asinus ENSEASG00005018002
sus_scrofa ENSSSCG00000016969
canis_lupus_dingo ENSCAFG00020000017
vulpes_vulpes ENSVVUG00000006944
ursus_maritimus ENSUMAG00000016915
ursus_americanus ENSUAMG00000004930
myotis_lucifugus ENSMLUG00000024961
cebus_capucinus ENSCCAG00000034683
aotus_nancymaae ENSANAG00000024660
saimiri_boliviensis_boliviensis ENSSBOG00000028183
papio_anubis ENSPANG00000030848
chlorocebus_sabaeus ENSCSAG00000015655
ictidomys_tridecemlineatus ENSSTOG00000028701
urocitellus_parryii ENSUPAG00010014599
marmota_marmota_marmota ENSMMMG00000003028
spermophilus_dauricus ENSSDAG00000022234
peromyscus_maniculatus_bairdii ENSPEMG00000028629
myotis_lucifugus ENSMLUG00000029786
cebus_capucinus ENSCCAG00000016705
carlito_syrichta ENSTSYG00000026617
castor_canadensis ENSCCNG00000007906
dipodomys_ordii ENSDORG00000029475
peromyscus_maniculatus_bairdii ENSPEMG00000013868
mesocricetus_auratus ENSMAUG00000012873
cricetulus_griseus_crigri-picr ENSCGRG00015006904
cricetulus_griseus_crigri ENSCGRG00000010415
cricetulus_griseus_chok1gshd ENSCGRG00001024566
peromyscus_maniculatus_bairdii ENSPEMG00000024440
microtus_ochrogaster ENSMOCG00000021413
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018835
mus_musculus ENSMUSG00000021643
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019717
mus_spicilegus ENSMSIG00000028854
mus_pahari MGP_PahariEiJ_G0015910
rattus_norvegicus ENSRNOG00000017945
meriones_unguiculatus ENSMUGG00000025678
nannospalax_galili ENSNGAG00000020895
jaculus_jaculus ENSJJAG00000015414
dasypus_novemcinctus ENSDNOG00000048018
loxodonta_africana ENSLAFG00000031695
phascolarctos_cinereus ENSPCIG00000032884
monodelphis_domestica ENSMODG00000001445
anolis_carolinensis ENSACAG00000003491
notechis_scutatus ENSNSUG00000011121
pogona_vitticeps ENSPVIG00000025347
salvator_merianae ENSSMRG00000006407
sphenodon_punctatus ENSSPUG00000000364
gallus_gallus ENSGALG00000051598
numida_meleagris ENSNMEG00000014314
anas_platyrhynchos_platyrhynchos ENSAPLG00000011140
melopsittacus_undulatus ENSMUNG00000002715
serinus_canaria ENSSCAG00000012926
lonchura_striata_domestica ENSLSDG00000017617
lepidothrix_coronata ENSLCOG00000007247
cyanistes_caeruleus ENSCCEG00000012876
zonotrichia_albicollis ENSZALG00000003528
dromaius_novaehollandiae ENSDNVG00000018202
calidris_pugnax ENSCPUG00000013886
calidris_pygmaea ENSCPGG00000011555
parus_major ENSPMJG00000004166
manacus_vitellinus ENSMVIG00005019842
ficedula_albicollis ENSFALG00000012304
taeniopygia_guttata ENSTGUG00000001546
anser_brachyrhynchus ENSABRG00000011076
apteryx_rowi ENSARWG00000005292
apteryx_haastii ENSAHAG00000000657
apteryx_owenii ENSAOWG00000008647
nothoprocta_perdicaria ENSNPEG00000015907
crocodylus_porosus ENSCPRG00005001212
chelonoidis_abingdonii ENSCABG00000014904
gopherus_agassizii ENSGAGG00000021080
chrysemys_picta_bellii ENSCPBG00000010971
pelodiscus_sinensis ENSPSIG00000014777
