piliocolobus_tephrosceles ENSPTEG00000012402
colobus_angolensis_palliatus ENSCANG00000037302
rhinopithecus_bieti ENSRBIG00000032088
rhinopithecus_roxellana ENSRROG00000012349
papio_anubis ENSPANG00000021914
theropithecus_gelada ENSTGEG00000013287
macaca_fascicularis ENSMFAG00000042274
macaca_mulatta ENSMMUG00000011943
macaca_nemestrina ENSMNEG00000029823
chlorocebus_sabaeus ENSCSAG00000016629
cercocebus_atys ENSCATG00000036155
mandrillus_leucophaeus ENSMLEG00000016501
macaca_mulatta ENSMMUG00000005369
pan_paniscus ENSPPAG00000041477
pan_troglodytes ENSPTRG00000022843
homo_sapiens ENSG00000196345
gorilla_gorilla ENSGGOG00000003024
nomascus_leucogenys ENSNLEG00000005964
saimiri_boliviensis_boliviensis ENSSBOG00000034737
cebus_capucinus ENSCCAG00000019879
callithrix_jacchus ENSCJAG00000001803
aotus_nancymaae ENSANAG00000025395
carlito_syrichta ENSTSYG00000006193
prolemur_simus ENSPSMG00000015714
propithecus_coquereli ENSPCOG00000025520
microcebus_murinus ENSMICG00000028226
otolemur_garnettii ENSOGAG00000027324
mus_spicilegus ENSMSIG00000022524
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033995
mus_musculus ENSMUSG00000063488
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032847
mus_pahari MGP_PahariEiJ_G0015713
rattus_norvegicus ENSRNOG00000004104
meriones_unguiculatus ENSMUGG00000008541
cricetulus_griseus_crigri-picr ENSCGRG00015011675
cricetulus_griseus_chok1gshd ENSCGRG00001014810
cricetulus_griseus_crigri ENSCGRG00000007620
mesocricetus_auratus ENSMAUG00000019625
microtus_ochrogaster ENSMOCG00000021772
nannospalax_galili ENSNGAG00000020548
castor_canadensis ENSCCNG00000013835
chinchilla_lanigera ENSCLAG00000014667
octodon_degus ENSODEG00000012208
heterocephalus_glaber_male ENSHGLG00100005283
heterocephalus_glaber_female ENSHGLG00000017242
urocitellus_parryii ENSUPAG00010011801
ictidomys_tridecemlineatus ENSSTOG00000023554
tupaia_belangeri ENSTBEG00000007616
bos_mutus ENSBMUG00000010527
bos_taurus ENSBTAG00000003622
bison_bison_bison ENSBBBG00000018172
ovis_aries ENSOARG00000004538
capra_hircus ENSCHIG00000021862
tursiops_truncatus ENSTTRG00000014521
sus_scrofa ENSSSCG00000022195
pteropus_vampyrus ENSPVAG00000017000
dasypus_novemcinctus ENSDNOG00000016791
procavia_capensis ENSPCAG00000008405
notamacropus_eugenii ENSMEUG00000011479
