seriola_lalandi_dorsalis ENSSLDG00000004455
cynoglossus_semilaevis ENSCSEG00000007042
labrus_bergylta ENSLBEG00000015621
poecilia_formosa ENSPFOG00000011812
fundulus_heteroclitus ENSFHEG00000004808
cyprinodon_variegatus ENSCVAG00000012588
oryzias_latipes ENSORLG00020007788
oryzias_melastigma ENSOMEG00000015616
acanthochromis_polyacanthus ENSAPOG00000012852
amphiprion_ocellaris ENSAOCG00000004239
mastacembelus_armatus ENSMAMG00000011891
gadus_morhua ENSGMOG00000001405
ictalurus_punctatus ENSIPUG00000024365
danio_rerio ENSDARG00000115315
ficedula_albicollis ENSFALG00000010819
zonotrichia_albicollis ENSZALG00000005528
manacus_vitellinus ENSMVIG00005008710
taeniopygia_guttata ENSTGUG00000002463
anser_brachyrhynchus ENSABRG00000021031
numida_meleagris ENSNMEG00000006563
calidris_pygmaea ENSCPGG00000005978
calidris_pugnax ENSCPUG00000015129
apteryx_haastii ENSAHAG00000002811
apteryx_owenii ENSAOWG00000009688
apteryx_rowi ENSARWG00000013448
