ciona_savignyi ENSCSAVG00000011596
caenorhabditis_elegans_strain_n2 WBGene00010450
drosophila_melanogaster FBgn0031494
caenorhabditis_elegans_strain_n2 WBGene00017698
gallus_gallus ENSGALG00000035963
coturnix_japonica ENSCJPG00005021448
numida_meleagris ENSNMEG00000000452
anser_brachyrhynchus ENSABRG00000022737
anas_platyrhynchos_platyrhynchos ENSAPLG00000006329
calidris_pygmaea ENSCPGG00000007670
calidris_pugnax ENSCPUG00000019987
melopsittacus_undulatus ENSMUNG00000013128
manacus_vitellinus ENSMVIG00005004097
manacus_vitellinus ENSMVIG00005014675
lepidothrix_coronata ENSLCOG00000001006
zonotrichia_albicollis ENSZALG00000006200
junco_hyemalis ENSJHYG00000010425
ficedula_albicollis ENSFALG00000014573
taeniopygia_guttata ENSTGUG00000017312
lonchura_striata_domestica ENSLSDG00000009560
serinus_canaria ENSSCAG00000002406
cyanistes_caeruleus ENSCCEG00000021801
parus_major ENSPMJG00000010557
apteryx_owenii ENSAOWG00000011826
apteryx_rowi ENSARWG00000005005
apteryx_haastii ENSAHAG00000004581
dromaius_novaehollandiae ENSDNVG00000001140
nothoprocta_perdicaria ENSNPEG00000000728
crocodylus_porosus ENSCPRG00005005011
chelonoidis_abingdonii ENSCABG00000018671
gopherus_agassizii ENSGAGG00000019974
chrysemys_picta_bellii ENSCPBG00000005267
pelodiscus_sinensis ENSPSIG00000000946
pogona_vitticeps ENSPVIG00000012434
notechis_scutatus ENSNSUG00000019170
salvator_merianae ENSSMRG00000023541
sphenodon_punctatus ENSSPUG00000013450
sphenodon_punctatus ENSSPUG00000013454
chinchilla_lanigera ENSCLAG00000017821
octodon_degus ENSODEG00000011388
cavia_porcellus ENSCPOG00000027533
cavia_aperea ENSCAPG00000014953
heterocephalus_glaber_male ENSHGLG00100021312
heterocephalus_glaber_female ENSHGLG00000020074
fukomys_damarensis ENSFDAG00000003179
castor_canadensis ENSCCNG00000014066
cricetulus_griseus_crigri ENSCGRG00000017961
cricetulus_griseus_chok1gshd ENSCGRG00001002456
cricetulus_griseus_crigri-picr ENSCGRG00015010063
mesocricetus_auratus ENSMAUG00000022088
microtus_ochrogaster ENSMOCG00000023028
peromyscus_maniculatus_bairdii ENSPEMG00000019435
mus_musculus ENSMUSG00000041396
mus_spicilegus ENSMSIG00000022324
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015595
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014788
mus_pahari MGP_PahariEiJ_G0028025
rattus_norvegicus ENSRNOG00000025189
meriones_unguiculatus ENSMUGG00000006806
nannospalax_galili ENSNGAG00000018612
jaculus_jaculus ENSJJAG00000018499
urocitellus_parryii ENSUPAG00010010675
ictidomys_tridecemlineatus ENSSTOG00000003028
spermophilus_dauricus ENSSDAG00000022196
marmota_marmota_marmota ENSMMMG00000018443
oryctolagus_cuniculus ENSOCUG00000013780
ochotona_princeps ENSOPRG00000000705
prolemur_simus ENSPSMG00000025570
otolemur_garnettii ENSOGAG00000010096
pan_paniscus ENSPPAG00000025508
pan_troglodytes ENSPTRG00000001663
homo_sapiens ENSG00000171806
gorilla_gorilla ENSGGOG00000015904
pongo_abelii ENSPPYG00000000527
nomascus_leucogenys ENSNLEG00000015047
macaca_fascicularis ENSMFAG00000022253
macaca_mulatta ENSMMUG00000016581
macaca_nemestrina ENSMNEG00000022283
mandrillus_leucophaeus ENSMLEG00000020534
chlorocebus_sabaeus ENSCSAG00000000235
papio_anubis ENSPANG00000000141
theropithecus_gelada ENSTGEG00000005742
piliocolobus_tephrosceles ENSPTEG00000017044
callithrix_jacchus ENSCJAG00000022732
tupaia_belangeri ENSTBEG00000012592
ovis_aries ENSOARG00000005115
capra_hircus ENSCHIG00000008379
bos_mutus ENSBMUG00000020909
bison_bison_bison ENSBBBG00000000768
bos_taurus ENSBTAG00000021671
sus_scrofa ENSSSCG00000006285
vicugna_pacos ENSVPAG00000005133
vicugna_pacos ENSVPAG00000005135
ursus_americanus ENSUAMG00000002954
ursus_maritimus ENSUMAG00000017650
ailuropoda_melanoleuca ENSAMEG00000019804
neovison_vison ENSNVIG00000021707
mustela_putorius_furo ENSMPUG00000019761
canis_lupus_dingo ENSCAFG00020022668
canis_lupus_familiaris ENSCAFG00000023327
vulpes_vulpes ENSVVUG00000026205
equus_caballus ENSECAG00000006141
equus_asinus_asinus ENSEASG00005019014
myotis_lucifugus ENSMLUG00000006577
loxodonta_africana ENSLAFG00000014426
echinops_telfairi ENSETEG00000003354
procavia_capensis ENSPCAG00000000010
dasypus_novemcinctus ENSDNOG00000012231
sarcophilus_harrisii ENSSHAG00000010921
monodelphis_domestica ENSMODG00000003390
phascolarctos_cinereus ENSPCIG00000024038
xenopus_tropicalis ENSXETG00000012806
latimeria_chalumnae ENSLACG00000003880
amphiprion_percula ENSAPEG00000015947
amphiprion_ocellaris ENSAOCG00000015945
acanthochromis_polyacanthus ENSAPOG00000013195
stegastes_partitus ENSSPAG00000002457
cyprinodon_variegatus ENSCVAG00000003348
fundulus_heteroclitus ENSFHEG00000004032
xiphophorus_maculatus ENSXMAG00000025311
xiphophorus_couchianus ENSXCOG00000012108
gambusia_affinis ENSGAFG00000009108
poecilia_mexicana ENSPMEG00000021967
poecilia_formosa ENSPFOG00000014853
poecilia_latipinna ENSPLAG00000009893
poecilia_reticulata ENSPREG00000020827
kryptolebias_marmoratus ENSKMAG00000020752
oryzias_latipes_asm223469v1 ENSORLG00015006791
oryzias_latipes ENSORLG00000026116
oryzias_latipes ENSORLG00020002398
oryzias_melastigma ENSOMEG00000000050
pundamilia_nyererei ENSPNYG00000009382
maylandia_zebra ENSMZEG00005003149
astatotilapia_calliptera ENSACLG00000007587
haplochromis_burtoni ENSHBUG00000023640
neolamprologus_brichardi ENSNBRG00000009927
oreochromis_niloticus ENSONIG00000009524
amphilophus_citrinellus ENSACIG00000022638
monopterus_albus ENSMALG00000016713
mastacembelus_armatus ENSMAMG00000002903
anabas_testudineus ENSATEG00000022695
seriola_dumerili ENSSDUG00000022855
seriola_lalandi_dorsalis ENSSLDG00000002930
scophthalmus_maximus ENSSMAG00000003963
labrus_bergylta ENSLBEG00000015515
mola_mola ENSMMOG00000010690
takifugu_rubripes ENSTRUG00000019556
gasterosteus_aculeatus ENSGACG00000007255
cynoglossus_semilaevis ENSCSEG00000007916
hippocampus_comes ENSHCOG00000019384
periophthalmus_magnuspinnatus ENSPMGG00000020211
