meriones_unguiculatus ENSMUGG00000014476
mus_spicilegus ENSMSIG00000003790
castor_canadensis ENSCCNG00000015221
oryctolagus_cuniculus ENSOCUG00000029205
piliocolobus_tephrosceles ENSPTEG00000033821
theropithecus_gelada ENSTGEG00000028024
pan_paniscus ENSPPAG00000006444
prolemur_simus ENSPSMG00000000011
felis_catus ENSFCAG00000052024
vulpes_vulpes ENSVVUG00000027639
bos_indicus ENSBIXG00000023500
bos_mutus ENSBMUG00000003381
bos_taurus ENSBTAG00000054917
bison_bison ENSBBBG00000015026
ovis_aries ENSOARG00000016497
carlito_syrichta ENSTSYG00000036094
gorilla_gorilla ENSGGOG00000000350
oryctolagus_cuniculus ENSOCUG00000035687
castor_canadensis ENSCCNG00000015214
callithrix_jacchus ENSCJAG00000051870
prolemur_simus ENSPSMG00000000010
canis_lupus ENSCAFG00000045360
canis_lupus ENSCAFG00020021007
vulpes_vulpes ENSVVUG00000027642
ursus_americanus ENSUAMG00000012644
ursus_maritimus ENSUMAG00000012223
mustela_putorius ENSMPUG00000008524
felis_catus ENSFCAG00000050021
myotis_lucifugus ENSMLUG00000022605
myotis_lucifugus ENSMLUG00000026926
bos_indicus ENSBIXG00000023498
bos_indicus ENSBIXG00005009917
bos_taurus ENSBTAG00000053785
bos_mutus ENSBMUG00000003371
ovis_aries ENSOARG00000016464
saimiri_boliviensis ENSSBOG00000035953
callithrix_jacchus ENSCJAG00000056767
aotus_nancymaae ENSANAG00000005926
macaca_nemestrina ENSMNEG00000042200
macaca_mulatta ENSMMUG00000062393
chlorocebus_sabaeus ENSCSAG00000007732
rhinopithecus_bieti ENSRBIG00000028496
theropithecus_gelada ENSTGEG00000028020
mandrillus_leucophaeus ENSMLEG00000022950
papio_anubis ENSPANG00000014296
cercocebus_atys ENSCATG00000033847
piliocolobus_tephrosceles ENSPTEG00000033850
pan_paniscus ENSPPAG00000035284
pan_troglodytes ENSPTRG00000052858
gorilla_gorilla ENSGGOG00000036136
nomascus_leucogenys ENSNLEG00000029849
homo_sapiens ENSG00000211752
pongo_abelii ENSPPYG00000018294
spermophilus_dauricus ENSSDAG00000006407
spermophilus_dauricus ENSSDAG00000006400
spermophilus_dauricus ENSSDAG00000006398
spermophilus_dauricus ENSSDAG00000006389
spermophilus_dauricus ENSSDAG00000006388
urocitellus_parryii ENSUPAG00010009812
oryctolagus_cuniculus ENSOCUG00000023970
equus_caballus ENSECAG00000035001
equus_asinus ENSEASG00005009362
equus_caballus ENSECAG00000015068
myotis_lucifugus ENSMLUG00000024602
myotis_lucifugus ENSMLUG00000028160
ursus_maritimus ENSUMAG00000012222
ursus_americanus ENSUAMG00000012645
neovison_vison ENSNVIG00000019872
canis_lupus ENSCAFG00020021006
felis_catus ENSFCAG00000052883
bos_indicus ENSBIXG00005006414
bos_indicus ENSBIXG00000023499
bos_taurus ENSBTAG00000053701
ovis_aries ENSOARG00000016490
sus_scrofa ENSSSCG00000048989
dasypus_novemcinctus ENSDNOG00000037936
ursus_maritimus ENSUMAG00000012241
ursus_americanus ENSUAMG00000011707
ailuropoda_melanoleuca ENSAMEG00000006298
neovison_vison ENSNVIG00000019966
felis_catus ENSFCAG00000050333
equus_caballus ENSECAG00000037403
equus_asinus ENSEASG00005009439
equus_caballus ENSECAG00000033466
cricetulus_griseus ENSCGRG00015023029
peromyscus_maniculatus ENSPEMG00000026046
castor_canadensis ENSCCNG00000015187
urocitellus_parryii ENSUPAG00010009754
spermophilus_dauricus ENSSDAG00000006340
marmota_marmota ENSMMMG00000008387
dasypus_novemcinctus ENSDNOG00000032387
loxodonta_africana ENSLAFG00000028888
phascolarctos_cinereus ENSPCIG00000034251
phascolarctos_cinereus ENSPCIG00000033431
vombatus_ursinus ENSVURG00010022501
ornithorhynchus_anatinus ENSOANG00000010110
