chelonoidis_abingdonii ENSCABG00000022049
gopherus_agassizii ENSGAGG00000011477
chrysemys_picta_bellii ENSCPBG00000022124
pelodiscus_sinensis ENSPSIG00000012303
crocodylus_porosus ENSCPRG00005002910
gallus_gallus ENSGALG00000002222
meleagris_gallopavo ENSMGAG00000003512
coturnix_japonica ENSCJPG00005011262
numida_meleagris ENSNMEG00000009942
anser_brachyrhynchus ENSABRG00000007275
anas_platyrhynchos_platyrhynchos ENSAPLG00000008755
lepidothrix_coronata ENSLCOG00000014830
manacus_vitellinus ENSMVIG00005010186
taeniopygia_guttata ENSTGUG00000003958
taeniopygia_guttata ENSTGUG00000014842
lonchura_striata_domestica ENSLSDG00000014907
serinus_canaria ENSSCAG00000017217
parus_major ENSPMJG00000014512
cyanistes_caeruleus ENSCCEG00000020078
ficedula_albicollis ENSFALG00000007392
zonotrichia_albicollis ENSZALG00000004430
junco_hyemalis ENSJHYG00000006206
melopsittacus_undulatus ENSMUNG00000015820
calidris_pugnax ENSCPUG00000012674
calidris_pygmaea ENSCPGG00000015350
apteryx_rowi ENSARWG00000003377
apteryx_owenii ENSAOWG00000004311
apteryx_haastii ENSAHAG00000009177
dromaius_novaehollandiae ENSDNVG00000010249
nothoprocta_perdicaria ENSNPEG00000004938
sphenodon_punctatus ENSSPUG00000018958
pogona_vitticeps ENSPVIG00000021873
anolis_carolinensis ENSACAG00000008492
notechis_scutatus ENSNSUG00000002429
salvator_merianae ENSSMRG00000009217
ornithorhynchus_anatinus ENSOANG00000029180
phascolarctos_cinereus ENSPCIG00000001294
notamacropus_eugenii ENSMEUG00000000693
monodelphis_domestica ENSMODG00000018641
cavia_porcellus ENSCPOG00000007964
cavia_aperea ENSCAPG00000006877
chinchilla_lanigera ENSCLAG00000010210
octodon_degus ENSODEG00000009486
heterocephalus_glaber_female ENSHGLG00000006852
heterocephalus_glaber_male ENSHGLG00100008514
fukomys_damarensis ENSFDAG00000017623
ictidomys_tridecemlineatus ENSSTOG00000009911
marmota_marmota_marmota ENSMMMG00000021391
urocitellus_parryii ENSUPAG00010015435
castor_canadensis ENSCCNG00000018846
dipodomys_ordii ENSDORG00000013746
mus_spicilegus ENSMSIG00000016580
mus_musculus ENSMUSG00000095567
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027921
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026926
mus_pahari MGP_PahariEiJ_G0029275
rattus_norvegicus ENSRNOG00000021392
meriones_unguiculatus ENSMUGG00000004565
cricetulus_griseus_chok1gshd ENSCGRG00001012249
cricetulus_griseus_crigri-picr ENSCGRG00015015840
cricetulus_griseus_crigri ENSCGRG00000002320
mesocricetus_auratus ENSMAUG00000012860
microtus_ochrogaster ENSMOCG00000019617
peromyscus_maniculatus_bairdii ENSPEMG00000010309
nannospalax_galili ENSNGAG00000015129
jaculus_jaculus ENSJJAG00000022658
oryctolagus_cuniculus ENSOCUG00000011036
