urocitellus_parryii ENSUPAG00010023649
ictidomys_tridecemlineatus ENSSTOG00000019704
marmota_marmota_marmota ENSMMMG00000019196
spermophilus_dauricus ENSSDAG00000009698
chinchilla_lanigera ENSCLAG00000006362
octodon_degus ENSODEG00000015920
cavia_aperea ENSCAPG00000005038
cavia_porcellus ENSCPOG00000025754
heterocephalus_glaber_male ENSHGLG00100003246
heterocephalus_glaber_female ENSHGLG00000017659
fukomys_damarensis ENSFDAG00000010762
castor_canadensis ENSCCNG00000025860
dipodomys_ordii ENSDORG00000026047
mus_spicilegus ENSMSIG00000022123
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022704
mus_musculus ENSMUSG00000024209
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021793
mus_pahari MGP_PahariEiJ_G0020782
rattus_norvegicus ENSRNOG00000047549
meriones_unguiculatus ENSMUGG00000006263
cricetulus_griseus_crigri-picr ENSCGRG00015001905
cricetulus_griseus_crigri ENSCGRG00000006792
cricetulus_griseus_chok1gshd ENSCGRG00001021403
mesocricetus_auratus ENSMAUG00000014035
peromyscus_maniculatus_bairdii ENSPEMG00000022840
microtus_ochrogaster ENSMOCG00000008516
jaculus_jaculus ENSJJAG00000021099
prolemur_simus ENSPSMG00000001321
otolemur_garnettii ENSOGAG00000028426
ursus_maritimus ENSUMAG00000011083
ursus_americanus ENSUAMG00000001011
ailuropoda_melanoleuca ENSAMEG00000006856
mustela_putorius_furo ENSMPUG00000006513
neovison_vison ENSNVIG00000015289
canis_lupus_familiaris ENSCAFG00000029689
canis_lupus_dingo ENSCAFG00020019056
vulpes_vulpes ENSVVUG00000026901
felis_catus ENSFCAG00000027464
panthera_pardus ENSPPRG00000006490
equus_caballus ENSECAG00000029195
ursus_maritimus ENSUMAG00000011074
equus_caballus ENSECAG00000029780
dasypus_novemcinctus ENSDNOG00000046889
