cebus_capucinus ENSCCAG00000034852
saimiri_boliviensis_boliviensis ENSSBOG00000020626
gorilla_gorilla ENSGGOG00000002893
nomascus_leucogenys ENSNLEG00000000968
macaca_mulatta ENSMMUG00000022389
macaca_nemestrina ENSMNEG00000034113
mandrillus_leucophaeus ENSMLEG00000027046
rhinopithecus_roxellana ENSRROG00000028598
aotus_nancymaae ENSANAG00000027356
callithrix_jacchus ENSCJAG00000039319
cercocebus_atys ENSCATG00000044407
prolemur_simus ENSPSMG00000012306
vicugna_pacos ENSVPAG00000009919
sus_scrofa ENSSSCG00000038605
calidris_pugnax ENSCPUG00000000142
lepidothrix_coronata ENSLCOG00000012181
