spermophilus_dauricus ENSSDAG00000007681
marmota_marmota_marmota ENSMMMG00000011373
piliocolobus_tephrosceles ENSPTEG00000005333
rhinopithecus_roxellana ENSRROG00000003605
erinaceus_europaeus ENSEEUG00000008487
ursus_americanus ENSUAMG00000021722
pteropus_vampyrus ENSPVAG00000013237
equus_caballus ENSECAG00000040373
bison_bison_bison ENSBBBG00000018534
prolemur_simus ENSPSMG00000023564
callithrix_jacchus ENSCJAG00000047966
castor_canadensis ENSCCNG00000014648
phascolarctos_cinereus ENSPCIG00000013571
calidris_pygmaea ENSCPGG00000003956
eptatretus_burgeri ENSEBUG00000008166
