mus_musculus ENSMUSG00000021538
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019465
mus_spicilegus ENSMSIG00000019669
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018585
mus_pahari MGP_PahariEiJ_G0019649
rattus_norvegicus ENSRNOG00000012131
meriones_unguiculatus ENSMUGG00000008123
cricetulus_griseus_chok1gshd ENSCGRG00001002786
cricetulus_griseus_crigri-picr ENSCGRG00015016543
cricetulus_griseus_crigri ENSCGRG00000008818
mesocricetus_auratus ENSMAUG00000015518
peromyscus_maniculatus_bairdii ENSPEMG00000017772
microtus_ochrogaster ENSMOCG00000015389
nannospalax_galili ENSNGAG00000001244
jaculus_jaculus ENSJJAG00000001064
castor_canadensis ENSCCNG00000002823
spermophilus_dauricus ENSSDAG00000001570
ictidomys_tridecemlineatus ENSSTOG00000034582
marmota_marmota_marmota ENSMMMG00000006018
urocitellus_parryii ENSUPAG00010014388
cavia_porcellus ENSCPOG00000024096
cavia_aperea ENSCAPG00000011338
chinchilla_lanigera ENSCLAG00000015426
octodon_degus ENSODEG00000008860
heterocephalus_glaber_male ENSHGLG00100014300
heterocephalus_glaber_female ENSHGLG00000015532
fukomys_damarensis ENSFDAG00000019467
ochotona_princeps ENSOPRG00000010023
oryctolagus_cuniculus ENSOCUG00000006369
tupaia_belangeri ENSTBEG00000004686
pan_troglodytes ENSPTRG00000017261
pan_paniscus ENSPPAG00000031800
homo_sapiens ENSG00000145839
gorilla_gorilla ENSGGOG00000014117
pongo_abelii ENSPPYG00000015804
nomascus_leucogenys ENSNLEG00000008279
macaca_fascicularis ENSMFAG00000037760
macaca_mulatta ENSMMUG00000001950
macaca_nemestrina ENSMNEG00000026598
papio_anubis ENSPANG00000020836
theropithecus_gelada ENSTGEG00000021662
mandrillus_leucophaeus ENSMLEG00000028337
cercocebus_atys ENSCATG00000030102
chlorocebus_sabaeus ENSCSAG00000013366
rhinopithecus_bieti ENSRBIG00000030194
rhinopithecus_roxellana ENSRROG00000039554
colobus_angolensis_palliatus ENSCANG00000040861
piliocolobus_tephrosceles ENSPTEG00000033979
saimiri_boliviensis_boliviensis ENSSBOG00000030901
cebus_capucinus ENSCCAG00000036482
callithrix_jacchus ENSCJAG00000005916
aotus_nancymaae ENSANAG00000026296
carlito_syrichta ENSTSYG00000014527
propithecus_coquereli ENSPCOG00000028844
microcebus_murinus ENSMICG00000007283
prolemur_simus ENSPSMG00000000189
otolemur_garnettii ENSOGAG00000009580
bos_mutus ENSBMUG00000001225
bos_taurus ENSBTAG00000018290
bison_bison_bison ENSBBBG00000019556
ovis_aries ENSOARG00000014832
sus_scrofa ENSSSCG00000025818
tursiops_truncatus ENSTTRG00000014181
equus_asinus_asinus ENSEASG00005020504
equus_caballus ENSECAG00000026985
neovison_vison ENSNVIG00000016058
mustela_putorius_furo ENSMPUG00000009959
ailuropoda_melanoleuca ENSAMEG00000017898
ursus_maritimus ENSUMAG00000017288
vulpes_vulpes ENSVVUG00000017411
canis_lupus_dingo ENSCAFG00020007220
panthera_pardus ENSPPRG00000017376
panthera_tigris_altaica ENSPTIG00000008376
felis_catus ENSFCAG00000013931
sorex_araneus ENSSARG00000011740
pteropus_vampyrus ENSPVAG00000010068
loxodonta_africana ENSLAFG00000018404
procavia_capensis ENSPCAG00000016254
choloepus_hoffmanni ENSCHOG00000009983
monodelphis_domestica ENSMODG00000027536
melopsittacus_undulatus ENSMUNG00000003094
calidris_pygmaea ENSCPGG00000004117
taeniopygia_guttata ENSTGUG00000001237
lonchura_striata_domestica ENSLSDG00000007453
serinus_canaria ENSSCAG00000010962
parus_major ENSPMJG00000009609
cyanistes_caeruleus ENSCCEG00000010857
ficedula_albicollis ENSFALG00000008001
lepidothrix_coronata ENSLCOG00000005735
manacus_vitellinus ENSMVIG00005010557
gallus_gallus ENSGALG00000006329
coturnix_japonica ENSCJPG00005005181
meleagris_gallopavo ENSMGAG00000008131
numida_meleagris ENSNMEG00000020391
apteryx_owenii ENSAOWG00000009141
xenopus_tropicalis ENSXETG00000033564
