macaca_nemestrina ENSMNEG00000032268
macaca_mulatta ENSMMUG00000043269
mandrillus_leucophaeus ENSMLEG00000034957
chlorocebus_sabaeus ENSCSAG00000006417
rhinopithecus_bieti ENSRBIG00000032317
pan_troglodytes ENSPTRG00000052508
aotus_nancymaae ENSANAG00000026104
carlito_syrichta ENSTSYG00000027440
propithecus_coquereli ENSPCOG00000022649
marmota_marmota ENSMMMG00000024401
meriones_unguiculatus ENSMUGG00000021434
ursus_maritimus ENSUMAG00000013837
neovison_vison ENSNVIG00000022860
equus_asinus ENSEASG00005001394
monodelphis_domestica ENSMODG00000029449
ornithorhynchus_anatinus ENSOANG00000006130
anser_brachyrhynchus ENSABRG00000016785
anas_platyrhynchos ENSAPLG00000013939
calidris_pygmaea ENSCPGG00000005143
serinus_canaria ENSSCAG00000007751
junco_hyemalis ENSJHYG00000006067
lepidothrix_coronata ENSLCOG00000015255
pelodiscus_sinensis ENSPSIG00000018176
