scophthalmus_maximus ENSSMAG00000011286
cynoglossus_semilaevis ENSCSEG00000003555
seriola_dumerili ENSSDUG00000011467
seriola_lalandi_dorsalis ENSSLDG00000020925
kryptolebias_marmoratus ENSKMAG00000006870
poecilia_reticulata ENSPREG00000018415
oryzias_latipes_asm223469v1 ENSORLG00015002348
oryzias_melastigma ENSOMEG00000020692
amphiprion_ocellaris ENSAOCG00000002470
amphiprion_percula ENSAPEG00000024582
oryzias_melastigma ENSOMEG00000022553
mola_mola ENSMMOG00000005904
poecilia_reticulata ENSPREG00000020924
monopterus_albus ENSMALG00000020653
mola_mola ENSMMOG00000016986
cynoglossus_semilaevis ENSCSEG00000019532
ictalurus_punctatus ENSIPUG00000019005
anas_platyrhynchos_platyrhynchos ENSAPLG00000019688
anas_platyrhynchos_platyrhynchos ENSAPLG00000029261
chelonoidis_abingdonii ENSCABG00000015313
