cavia_aperea ENSCAPG00000011786
cavia_porcellus ENSCPOG00000027284
chinchilla_lanigera ENSCLAG00000016096
heterocephalus_glaber_female ENSHGLG00000015321
heterocephalus_glaber_male ENSHGLG00100007212
fukomys_damarensis ENSFDAG00000011334
mesocricetus_auratus ENSMAUG00000008582
jaculus_jaculus ENSJJAG00000010000
nomascus_leucogenys ENSNLEG00000000560
ochotona_princeps ENSOPRG00000001875
oryctolagus_cuniculus ENSOCUG00000026783
carlito_syrichta ENSTSYG00000033091
propithecus_coquereli ENSPCOG00000026730
microcebus_murinus ENSMICG00000002994
prolemur_simus ENSPSMG00000008411
otolemur_garnettii ENSOGAG00000027635
rhinopithecus_bieti ENSRBIG00000030186
rhinopithecus_roxellana ENSRROG00000043136
colobus_angolensis_palliatus ENSCANG00000002945
piliocolobus_tephrosceles ENSPTEG00000021057
macaca_mulatta ENSMMUG00000045137
macaca_fascicularis ENSMFAG00000038330
macaca_nemestrina ENSMNEG00000028848
papio_anubis ENSPANG00000022022
theropithecus_gelada ENSTGEG00000002228
cercocebus_atys ENSCATG00000042025
mandrillus_leucophaeus ENSMLEG00000041484
chlorocebus_sabaeus ENSCSAG00000002646
pan_paniscus ENSPPAG00000038230
pan_troglodytes ENSPTRG00000009074
homo_sapiens ENSG00000277258
gorilla_gorilla ENSGGOG00000007987
pongo_abelii ENSPPYG00000008506
cebus_capucinus ENSCCAG00000030044
saimiri_boliviensis_boliviensis ENSSBOG00000032762
callithrix_jacchus ENSCJAG00000008215
aotus_nancymaae ENSANAG00000027578
castor_canadensis ENSCCNG00000024927
dipodomys_ordii ENSDORG00000016581
cricetulus_griseus_crigri ENSCGRG00000010122
cricetulus_griseus_crigri-picr ENSCGRG00015016354
cricetulus_griseus_chok1gshd ENSCGRG00001021517
microtus_ochrogaster ENSMOCG00000021209
peromyscus_maniculatus_bairdii ENSPEMG00000000237
mus_spicilegus ENSMSIG00000017227
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017907
