capra_hircus ENSCHIG00000015393
ovis_aries ENSOARG00000021058
bos_mutus ENSBMUG00000016894
bos_taurus ENSBTAG00000037534
bison_bison_bison ENSBBBG00000023583
sus_scrofa ENSSSCG00000000655
vicugna_pacos ENSVPAG00000003733
sorex_araneus ENSSARG00000012718
erinaceus_europaeus ENSEEUG00000015054
pteropus_vampyrus ENSPVAG00000013585
myotis_lucifugus ENSMLUG00000017786
ursus_americanus ENSUAMG00000012957
ursus_maritimus ENSUMAG00000016325
ailuropoda_melanoleuca ENSAMEG00000003950
neovison_vison ENSNVIG00000010544
mustela_putorius_furo ENSMPUG00000006179
canis_lupus_dingo ENSCAFG00020006152
canis_lupus_familiaris ENSCAFG00000030153
vulpes_vulpes ENSVVUG00000005218
panthera_tigris_altaica ENSPTIG00000008513
panthera_pardus ENSPPRG00000013125
felis_catus ENSFCAG00000008833
equus_caballus ENSECAG00000035527
equus_asinus_asinus ENSEASG00005014819
pan_paniscus ENSPPAG00000040358
pan_troglodytes ENSPTRG00000004660
homo_sapiens ENSG00000150045
gorilla_gorilla ENSGGOG00000026169
pongo_abelii ENSPPYG00000004258
nomascus_leucogenys ENSNLEG00000003000
rhinopithecus_bieti ENSRBIG00000035011
rhinopithecus_roxellana ENSRROG00000033709
piliocolobus_tephrosceles ENSPTEG00000008791
colobus_angolensis_palliatus ENSCANG00000034369
macaca_fascicularis ENSMFAG00000012038
macaca_nemestrina ENSMNEG00000028085
macaca_mulatta ENSMMUG00000015299
mandrillus_leucophaeus ENSMLEG00000000056
papio_anubis ENSPANG00000026388
cercocebus_atys ENSCATG00000044727
theropithecus_gelada ENSTGEG00000004242
chlorocebus_sabaeus ENSCSAG00000009281
cebus_capucinus ENSCCAG00000004783
saimiri_boliviensis_boliviensis ENSSBOG00000032460
cebus_capucinus ENSCCAG00000033635
callithrix_jacchus ENSCJAG00000018584
aotus_nancymaae ENSANAG00000023222
carlito_syrichta ENSTSYG00000013000
microcebus_murinus ENSMICG00000004007
propithecus_coquereli ENSPCOG00000009756
prolemur_simus ENSPSMG00000004227
tupaia_belangeri ENSTBEG00000008137
choloepus_hoffmanni ENSCHOG00000007508
dasypus_novemcinctus ENSDNOG00000007226
loxodonta_africana ENSLAFG00000006555
procavia_capensis ENSPCAG00000004213
