lates_calcarifer ENSLCAG00010012935
seriola_dumerili ENSSDUG00000012662
oryzias_latipes ENSORLG00015015074
oryzias_latipes ENSORLG00000026657
oryzias_melastigma ENSOMEG00000014468
xiphophorus_couchianus ENSXCOG00000013200
xiphophorus_maculatus ENSXMAG00000025562
parambassis_ranga ENSPRNG00000014183
periophthalmus_magnuspinnatus ENSPMGG00000009074
gouania_willdenowi ENSGWIG00000013418
amphilophus_citrinellus ENSACIG00000004459
electrophorus_electricus ENSEEEG00000021576
anser_brachyrhynchus ENSABRG00000013064
coturnix_japonica ENSCJPG00005005019
lepidothrix_coronata ENSLCOG00000009682
lonchura_striata ENSLSDG00000000728
nothoprocta_perdicaria ENSNPEG00000009549
melopsittacus_undulatus ENSMUNG00000002198
numida_meleagris ENSNMEG00000011468
dromaius_novaehollandiae ENSDNVG00000008822
apteryx_haastii ENSAHAG00000008693
gopherus_agassizii ENSGAGG00000001880
salvator_merianae ENSSMRG00000012080
