coturnix_japonica ENSCJPG00005013944
numida_meleagris ENSNMEG00000018923
melopsittacus_undulatus ENSMUNG00000012805
anas_platyrhynchos_platyrhynchos ENSAPLG00000019798
cyanistes_caeruleus ENSCCEG00000021976
parus_major ENSPMJG00000012787
lonchura_striata_domestica ENSLSDG00000009955
serinus_canaria ENSSCAG00000004604
lepidothrix_coronata ENSLCOG00000011264
manacus_vitellinus ENSMVIG00005000091
zonotrichia_albicollis ENSZALG00000016867
apteryx_haastii ENSAHAG00000006042
apteryx_owenii ENSAOWG00000015105
nothoprocta_perdicaria ENSNPEG00000005893
dromaius_novaehollandiae ENSDNVG00000010234
crocodylus_porosus ENSCPRG00005018191
gopherus_agassizii ENSGAGG00000022323
notechis_scutatus ENSNSUG00000020274
salvator_merianae ENSSMRG00000021110
eptatretus_burgeri ENSEBUG00000011952
