cricetulus_griseus ENSCGRG00015025598
meriones_unguiculatus ENSMUGG00000023043
ursus_americanus ENSUAMG00000006883
saimiri_boliviensis ENSSBOG00000025700
callithrix_jacchus ENSCJAG00000045871
colobus_angolensis ENSCANG00000041038
piliocolobus_tephrosceles ENSPTEG00000035444
rhinopithecus_roxellana ENSRROG00000031426
piliocolobus_tephrosceles ENSPTEG00000037279
pan_troglodytes ENSPTRG00000049645
panthera_pardus ENSPPRG00000024729
panthera_tigris ENSPTIG00000005997
cercocebus_atys ENSCATG00000044704
macaca_fascicularis ENSMFAG00000001709
papio_anubis ENSPANG00000030374
mandrillus_leucophaeus ENSMLEG00000027786
cebus_capucinus ENSCCAG00000032719
oryctolagus_cuniculus ENSOCUG00000039487
capra_hircus ENSCHIG00000027211
