astyanax_mexicanus ENSAMXG00000038342
pygocentrus_nattereri ENSPNAG00000014821
ictalurus_punctatus ENSIPUG00000015874
danio_rerio ENSDARG00000104865
danio_rerio ENSDARG00000100379
danio_rerio ENSDARG00000101170
scophthalmus_maximus ENSSMAG00000005896
cynoglossus_semilaevis ENSCSEG00000019183
mastacembelus_armatus ENSMAMG00000007013
monopterus_albus ENSMALG00000013152
anabas_testudineus ENSATEG00000010784
seriola_lalandi_dorsalis ENSSLDG00000002646
seriola_dumerili ENSSDUG00000009298
amphiprion_ocellaris ENSAOCG00000020966
amphiprion_percula ENSAPEG00000006741
acanthochromis_polyacanthus ENSAPOG00000023803
stegastes_partitus ENSSPAG00000012955
haplochromis_burtoni ENSHBUG00000000548
maylandia_zebra ENSMZEG00005003999
astatotilapia_calliptera ENSACLG00000027713
pundamilia_nyererei ENSPNYG00000014442
neolamprologus_brichardi ENSNBRG00000008657
oreochromis_niloticus ENSONIG00000016175
amphilophus_citrinellus ENSACIG00000016958
xiphophorus_couchianus ENSXCOG00000008410
xiphophorus_maculatus ENSXMAG00000029317
gambusia_affinis ENSGAFG00000008183
poecilia_mexicana ENSPMEG00000012932
poecilia_latipinna ENSPLAG00000007773
poecilia_formosa ENSPFOG00000014499
poecilia_reticulata ENSPREG00000004969
cyprinodon_variegatus ENSCVAG00000017064
fundulus_heteroclitus ENSFHEG00000012041
kryptolebias_marmoratus ENSKMAG00000012778
oryzias_latipes_asm223469v1 ENSORLG00015000142
oryzias_latipes ENSORLG00020020277
oryzias_latipes ENSORLG00000014099
oryzias_melastigma ENSOMEG00000017958
mola_mola ENSMMOG00000006846
takifugu_rubripes ENSTRUG00000004294
labrus_bergylta ENSLBEG00000002926
gasterosteus_aculeatus ENSGACG00000013998
periophthalmus_magnuspinnatus ENSPMGG00000001298
periophthalmus_magnuspinnatus ENSPMGG00000001303
hippocampus_comes ENSHCOG00000015692
gadus_morhua ENSGMOG00000019230
paramormyrops_kingsleyae ENSPKIG00000021209
scleropages_formosus ENSSFOG00015012088
lepisosteus_oculatus ENSLOCG00000003467
gopherus_agassizii ENSGAGG00000004918
chelonoidis_abingdonii ENSCABG00000009691
chrysemys_picta_bellii ENSCPBG00000011236
pelodiscus_sinensis ENSPSIG00000006606
crocodylus_porosus ENSCPRG00005017470
pogona_vitticeps ENSPVIG00000017172
notechis_scutatus ENSNSUG00000014024
salvator_merianae ENSSMRG00000002838
sphenodon_punctatus ENSSPUG00000010325
manacus_vitellinus ENSMVIG00005005111
lepidothrix_coronata ENSLCOG00000001605
serinus_canaria ENSSCAG00000013058
lonchura_striata_domestica ENSLSDG00000004966
zonotrichia_albicollis ENSZALG00000015667
junco_hyemalis ENSJHYG00000003197
cyanistes_caeruleus ENSCCEG00000015340
parus_major ENSPMJG00000007311
ficedula_albicollis ENSFALG00000001373
calidris_pugnax ENSCPUG00000019730
calidris_pygmaea ENSCPGG00000008886
melopsittacus_undulatus ENSMUNG00000011341
anser_brachyrhynchus ENSABRG00000009775
anas_platyrhynchos_platyrhynchos ENSAPLG00000002659
gallus_gallus ENSGALG00000000994
coturnix_japonica ENSCJPG00005016270
numida_meleagris ENSNMEG00000005900
apteryx_rowi ENSARWG00000000855
apteryx_owenii ENSAOWG00000016753
apteryx_haastii ENSAHAG00000000897
nothoprocta_perdicaria ENSNPEG00000011555
phascolarctos_cinereus ENSPCIG00000022399
monodelphis_domestica ENSMODG00000010938
sarcophilus_harrisii ENSSHAG00000008520
equus_caballus ENSECAG00000031513
prolemur_simus ENSPSMG00000010403
xenopus_tropicalis ENSXETG00000020622
latimeria_chalumnae ENSLACG00000012674
