melopsittacus_undulatus ENSMUNG00000000453
anas_platyrhynchos_platyrhynchos ENSAPLG00000005247
lonchura_striata_domestica ENSLSDG00000002535
taeniopygia_guttata ENSTGUG00000005463
serinus_canaria ENSSCAG00000003767
zonotrichia_albicollis ENSZALG00000015637
junco_hyemalis ENSJHYG00000006332
ficedula_albicollis ENSFALG00000001502
gopherus_agassizii ENSGAGG00000010277
chelonoidis_abingdonii ENSCABG00000004819
chrysemys_picta_bellii ENSCPBG00000021161
macaca_mulatta ENSMMUG00000012379
papio_anubis ENSPANG00000003750
piliocolobus_tephrosceles ENSPTEG00000008166
gorilla_gorilla ENSGGOG00000025516
rhinopithecus_bieti ENSRBIG00000007002
piliocolobus_tephrosceles ENSPTEG00000001505
callithrix_jacchus ENSCJAG00000014827
urocitellus_parryii ENSUPAG00010006478
marmota_marmota_marmota ENSMMMG00000010744
neovison_vison ENSNVIG00000021013
peromyscus_maniculatus_bairdii ENSPEMG00000013592
peromyscus_maniculatus_bairdii ENSPEMG00000028603
otolemur_garnettii ENSOGAG00000029360
cebus_capucinus ENSCCAG00000035068
mesocricetus_auratus ENSMAUG00000019197
tupaia_belangeri ENSTBEG00000003344
mustela_putorius_furo ENSMPUG00000012594
prolemur_simus ENSPSMG00000019736
rattus_norvegicus ENSRNOG00000029310
oryctolagus_cuniculus ENSOCUG00000027027
oryctolagus_cuniculus ENSOCUG00000025450
pan_paniscus ENSPPAG00000035063
pan_troglodytes ENSPTRG00000049410
gorilla_gorilla ENSGGOG00000023680
nomascus_leucogenys ENSNLEG00000030901
rhinopithecus_roxellana ENSRROG00000035341
callithrix_jacchus ENSCJAG00000040821
callithrix_jacchus ENSCJAG00000044259
aotus_nancymaae ENSANAG00000021362
cricetulus_griseus_crigri-picr ENSCGRG00015005407
jaculus_jaculus ENSJJAG00000016802
carlito_syrichta ENSTSYG00000029336
neovison_vison ENSNVIG00000013878
dasypus_novemcinctus ENSDNOG00000030713
theropithecus_gelada ENSTGEG00000028369
papio_anubis ENSPANG00000034498
cercocebus_atys ENSCATG00000032659
cercocebus_atys ENSCATG00000031343
macaca_nemestrina ENSMNEG00000037496
chlorocebus_sabaeus ENSCSAG00000019115
pan_paniscus ENSPPAG00000030172
pan_troglodytes ENSPTRG00000047886
pan_paniscus ENSPPAG00000029689
nomascus_leucogenys ENSNLEG00000030063
mandrillus_leucophaeus ENSMLEG00000012582
piliocolobus_tephrosceles ENSPTEG00000038186
jaculus_jaculus ENSJJAG00000024026
oryctolagus_cuniculus ENSOCUG00000022874
macaca_fascicularis ENSMFAG00000027988
macaca_nemestrina ENSMNEG00000025946
rhinopithecus_bieti ENSRBIG00000010998
rattus_norvegicus ENSRNOG00000031532
rattus_norvegicus ENSRNOG00000031902
microtus_ochrogaster ENSMOCG00000008541
cricetulus_griseus_crigri ENSCGRG00000003429
cricetulus_griseus_crigri-picr ENSCGRG00015016043
rattus_norvegicus ENSRNOG00000029130
dipodomys_ordii ENSDORG00000027559
meriones_unguiculatus ENSMUGG00000000168
cricetulus_griseus_chok1gshd ENSCGRG00001020617
heterocephalus_glaber_female ENSHGLG00000013590
heterocephalus_glaber_male ENSHGLG00100007783
pan_troglodytes ENSPTRG00000029310
nomascus_leucogenys ENSNLEG00000030504
macaca_nemestrina ENSMNEG00000005027
pan_troglodytes ENSPTRG00000044655
bos_taurus ENSBTAG00000047286
bison_bison_bison ENSBBBG00000002732
felis_catus ENSFCAG00000026737
otolemur_garnettii ENSOGAG00000007682
propithecus_coquereli ENSPCOG00000004337
rattus_norvegicus ENSRNOG00000028826
rattus_norvegicus ENSRNOG00000029423
ovis_aries ENSOARG00000004560
capra_hircus ENSCHIG00000023018
panthera_pardus ENSPPRG00000008233
felis_catus ENSFCAG00000029566
piliocolobus_tephrosceles ENSPTEG00000020508
piliocolobus_tephrosceles ENSPTEG00000002985
macaca_mulatta ENSMMUG00000049182
macaca_fascicularis ENSMFAG00000044607
cebus_capucinus ENSCCAG00000033718
rattus_norvegicus ENSRNOG00000033652
rattus_norvegicus ENSRNOG00000022718
cricetulus_griseus_crigri-picr ENSCGRG00015023504
heterocephalus_glaber_female ENSHGLG00000018482
heterocephalus_glaber_male ENSHGLG00100004197
callithrix_jacchus ENSCJAG00000039516
microcebus_murinus ENSMICG00000026491
mustela_putorius_furo ENSMPUG00000012398
sus_scrofa ENSSSCG00000034232
jaculus_jaculus ENSJJAG00000014376
rattus_norvegicus ENSRNOG00000014425
heterocephalus_glaber_female ENSHGLG00000012167
heterocephalus_glaber_male ENSHGLG00100007133
ictidomys_tridecemlineatus ENSSTOG00000031997
aotus_nancymaae ENSANAG00000035965
saimiri_boliviensis_boliviensis ENSSBOG00000033255
mustela_putorius_furo ENSMPUG00000017429
mustela_putorius_furo ENSMPUG00000003699
