kryptolebias_marmoratus ENSKMAG00000021859
poecilia_formosa ENSPFOG00000024159
oryzias_melastigma ENSOMEG00000002827
amphiprion_percula ENSAPEG00000015218
amphiprion_ocellaris ENSAOCG00000022912
acanthochromis_polyacanthus ENSAPOG00000003915
stegastes_partitus ENSSPAG00000018759
maylandia_zebra ENSMZEG00005005389
astatotilapia_calliptera ENSACLG00000002210
haplochromis_burtoni ENSHBUG00000008898
pundamilia_nyererei ENSPNYG00000014026
anabas_testudineus ENSATEG00000010687
esox_lucius ENSELUG00000004055
lepisosteus_oculatus ENSLOCG00000011159
