canis_lupus_dingo ENSCAFG00020026863
ursus_americanus ENSUAMG00000020181
felis_catus ENSFCAG00000041218
panthera_pardus ENSPPRG00000001027
bison_bison_bison ENSBBBG00000007174
bos_mutus ENSBMUG00000017640
sorex_araneus ENSSARG00000006011
panthera_tigris_altaica ENSPTIG00000009737
vulpes_vulpes ENSVVUG00000006514
spermophilus_dauricus ENSSDAG00000020215
capra_hircus ENSCHIG00000012185
bos_taurus ENSBTAG00000048500
sus_scrofa ENSSSCG00000040670
equus_asinus_asinus ENSEASG00005010323
equus_caballus ENSECAG00000037169
meriones_unguiculatus ENSMUGG00000023208
mus_spicilegus ENSMSIG00000023160
peromyscus_maniculatus_bairdii ENSPEMG00000021666
cricetulus_griseus_chok1gshd ENSCGRG00001017895
jaculus_jaculus ENSJJAG00000000409
marmota_marmota_marmota ENSMMMG00000002765
ictidomys_tridecemlineatus ENSSTOG00000031987
urocitellus_parryii ENSUPAG00010016900
octodon_degus ENSODEG00000006378
propithecus_coquereli ENSPCOG00000019796
prolemur_simus ENSPSMG00000025075
microcebus_murinus ENSMICG00000005190
pan_troglodytes ENSPTRG00000047815
gorilla_gorilla ENSGGOG00000038609
pan_paniscus ENSPPAG00000042393
rhinopithecus_roxellana ENSRROG00000042402
rhinopithecus_bieti ENSRBIG00000028574
piliocolobus_tephrosceles ENSPTEG00000000815
theropithecus_gelada ENSTGEG00000021688
cercocebus_atys ENSCATG00000014393
macaca_fascicularis ENSMFAG00000042371
macaca_nemestrina ENSMNEG00000044919
macaca_mulatta ENSMMUG00000015104
mandrillus_leucophaeus ENSMLEG00000035182
nomascus_leucogenys ENSNLEG00000008695
aotus_nancymaae ENSANAG00000029407
cebus_capucinus ENSCCAG00000024458
callithrix_jacchus ENSCJAG00000042690
tupaia_belangeri ENSTBEG00000011444
erinaceus_europaeus ENSEEUG00000002522
echinops_telfairi ENSETEG00000000725
