peromyscus_maniculatus_bairdii ENSPEMG00000008460
mesocricetus_auratus ENSMAUG00000012184
mus_musculus ENSMUSG00000063600
mus_spicilegus ENSMSIG00000008127
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025832
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024898
rattus_norvegicus ENSRNOG00000023908
cricetulus_griseus_crigri-picr ENSCGRG00015027275
cricetulus_griseus_crigri ENSCGRG00000001684
cricetulus_griseus_chok1gshd ENSCGRG00001021334
microtus_ochrogaster ENSMOCG00000018732
mus_pahari MGP_PahariEiJ_G0026343
nannospalax_galili ENSNGAG00000010661
heterocephalus_glaber_female ENSHGLG00000011584
heterocephalus_glaber_male ENSHGLG00100000169
fukomys_damarensis ENSFDAG00000006674
chlorocebus_sabaeus ENSCSAG00000012523
ictidomys_tridecemlineatus ENSSTOG00000029972
mustela_putorius_furo ENSMPUG00000017081
ovis_aries ENSOARG00000000951
bos_taurus ENSBTAG00000054693
monodelphis_domestica ENSMODG00000028048
sphenodon_punctatus ENSSPUG00000014741
salvator_merianae ENSSMRG00000023675
