acanthochromis_polyacanthus ENSAPOG00000021879
stegastes_partitus ENSSPAG00000005750
amphiprion_ocellaris ENSAOCG00000011091
amphiprion_percula ENSAPEG00000006822
maylandia_zebra ENSMZEG00005025430
astatotilapia_calliptera ENSACLG00000023220
haplochromis_burtoni ENSHBUG00000003957
amphilophus_citrinellus ENSACIG00000015436
poecilia_formosa ENSPFOG00000024447
poecilia_formosa ENSPFOG00000007772
xiphophorus_maculatus ENSXMAG00000016274
cyprinodon_variegatus ENSCVAG00000023219
oryzias_latipes_asm223469v1 ENSORLG00015011986
oryzias_latipes ENSORLG00000022578
oryzias_latipes ENSORLG00020012122
oryzias_melastigma ENSOMEG00000003422
seriola_dumerili ENSSDUG00000008385
cynoglossus_semilaevis ENSCSEG00000017901
monopterus_albus ENSMALG00000018363
anabas_testudineus ENSATEG00000010878
esox_lucius ENSELUG00000001399
mastacembelus_armatus ENSMAMG00000012842
mola_mola ENSMMOG00000018892
seriola_lalandi_dorsalis ENSSLDG00000023854
seriola_lalandi_dorsalis ENSSLDG00000023571
seriola_lalandi_dorsalis ENSSLDG00000007873
poecilia_latipinna ENSPLAG00000011706
poecilia_reticulata ENSPREG00000003520
xiphophorus_couchianus ENSXCOG00000014629
neolamprologus_brichardi ENSNBRG00000014742
pundamilia_nyererei ENSPNYG00000011858
fundulus_heteroclitus ENSFHEG00000005799
takifugu_rubripes ENSTRUG00000021696
poecilia_mexicana ENSPMEG00000010801
kryptolebias_marmoratus ENSKMAG00000012455
labrus_bergylta ENSLBEG00000019409
periophthalmus_magnuspinnatus ENSPMGG00000013913
astyanax_mexicanus ENSAMXG00000035393
ictalurus_punctatus ENSIPUG00000014413
danio_rerio ENSDARG00000101899
scleropages_formosus ENSSFOG00015010608
