caenorhabditis_elegans_strain_n2 WBGene00006596
piliocolobus_tephrosceles ENSPTEG00000010407
petromyzon_marinus ENSPMAG00000002503
eptatretus_burgeri ENSEBUG00000004586
paramormyrops_kingsleyae ENSPKIG00000017207
scleropages_formosus ENSSFOG00015000168
pygocentrus_nattereri ENSPNAG00000022998
astyanax_mexicanus ENSAMXG00000010181
ictalurus_punctatus ENSIPUG00000016972
danio_rerio ENSDARG00000052827
takifugu_rubripes ENSTRUG00000006332
tetraodon_nigroviridis ENSTNIG00000006269
cynoglossus_semilaevis ENSCSEG00000006356
mola_mola ENSMMOG00000002649
gasterosteus_aculeatus ENSGACG00000007735
labrus_bergylta ENSLBEG00000018320
seriola_dumerili ENSSDUG00000018992
seriola_lalandi_dorsalis ENSSLDG00000018973
scophthalmus_maximus ENSSMAG00000006179
mastacembelus_armatus ENSMAMG00000006374
monopterus_albus ENSMALG00000012780
anabas_testudineus ENSATEG00000007160
amphiprion_ocellaris ENSAOCG00000019482
amphiprion_percula ENSAPEG00000011863
acanthochromis_polyacanthus ENSAPOG00000019924
stegastes_partitus ENSSPAG00000006033
pundamilia_nyererei ENSPNYG00000024044
maylandia_zebra ENSMZEG00005003668
haplochromis_burtoni ENSHBUG00000017352
astatotilapia_calliptera ENSACLG00000014486
oreochromis_niloticus ENSONIG00000008448
neolamprologus_brichardi ENSNBRG00000003374
amphilophus_citrinellus ENSACIG00000010065
fundulus_heteroclitus ENSFHEG00000021049
cyprinodon_variegatus ENSCVAG00000010000
poecilia_latipinna ENSPLAG00000017166
poecilia_mexicana ENSPMEG00000009985
poecilia_formosa ENSPFOG00000014577
poecilia_reticulata ENSPREG00000018044
xiphophorus_maculatus ENSXMAG00000003671
xiphophorus_couchianus ENSXCOG00000016057
gambusia_affinis ENSGAFG00000010661
kryptolebias_marmoratus ENSKMAG00000015416
oryzias_latipes ENSORLG00020008361
oryzias_latipes_asm223469v1 ENSORLG00015019456
oryzias_latipes ENSORLG00000013858
oryzias_melastigma ENSOMEG00000005276
hippocampus_comes ENSHCOG00000004737
periophthalmus_magnuspinnatus ENSPMGG00000017775
gadus_morhua ENSGMOG00000002208
esox_lucius ENSELUG00000011817
sphenodon_punctatus ENSSPUG00000004639
notechis_scutatus ENSNSUG00000017895
tetraodon_nigroviridis ENSTNIG00000002091
lepisosteus_oculatus ENSLOCG00000004935
latimeria_chalumnae ENSLACG00000008893
pogona_vitticeps ENSPVIG00000009522
anolis_carolinensis ENSACAG00000009174
salvator_merianae ENSSMRG00000008869
sphenodon_punctatus ENSSPUG00000004631
apteryx_haastii ENSAHAG00000016068
apteryx_rowi ENSARWG00000017370
apteryx_owenii ENSAOWG00000016242
dromaius_novaehollandiae ENSDNVG00000013135
nothoprocta_perdicaria ENSNPEG00000014471
gallus_gallus ENSGALG00000005028
meleagris_gallopavo ENSMGAG00000004872
coturnix_japonica ENSCJPG00005003534
numida_meleagris ENSNMEG00000010451
anser_brachyrhynchus ENSABRG00000015467
anas_platyrhynchos_platyrhynchos ENSAPLG00000006039
manacus_vitellinus ENSMVIG00005014586
lepidothrix_coronata ENSLCOG00000012735
junco_hyemalis ENSJHYG00000004488
zonotrichia_albicollis ENSZALG00000005296
serinus_canaria ENSSCAG00000008573
lonchura_striata_domestica ENSLSDG00000007352
taeniopygia_guttata ENSTGUG00000007114
cyanistes_caeruleus ENSCCEG00000022695
parus_major ENSPMJG00000017442
ficedula_albicollis ENSFALG00000013713
melopsittacus_undulatus ENSMUNG00000014625
calidris_pygmaea ENSCPGG00000001496
calidris_pugnax ENSCPUG00000010709
crocodylus_porosus ENSCPRG00005015776
gopherus_agassizii ENSGAGG00000007422
chelonoidis_abingdonii ENSCABG00000021215
chrysemys_picta_bellii ENSCPBG00000020999
pelodiscus_sinensis ENSPSIG00000017187
heterocephalus_glaber_female ENSHGLG00000000041
jaculus_jaculus ENSJJAG00000018489
pan_paniscus ENSPPAG00000025639
pan_troglodytes ENSPTRG00000023345
homo_sapiens ENSG00000177302
gorilla_gorilla ENSGGOG00000003087
pongo_abelii ENSPPYG00000008049
nomascus_leucogenys ENSNLEG00000013982
