pundamilia_nyererei ENSPNYG00000014803
maylandia_zebra ENSMZEG00005011863
astatotilapia_calliptera ENSACLG00000014728
haplochromis_burtoni ENSHBUG00000008323
neolamprologus_brichardi ENSNBRG00000006497
amphilophus_citrinellus ENSACIG00000014490
stegastes_partitus ENSSPAG00000021997
poecilia_mexicana ENSPMEG00000020660
poecilia_latipinna ENSPLAG00000014116
poecilia_reticulata ENSPREG00000015502
xiphophorus_couchianus ENSXCOG00000017213
xiphophorus_maculatus ENSXMAG00000012378
gambusia_affinis ENSGAFG00000019559
cyprinodon_variegatus ENSCVAG00000014186
oryzias_latipes ENSORLG00020007468
oryzias_latipes_asm223469v1 ENSORLG00015003315
oryzias_latipes ENSORLG00000009362
oryzias_melastigma ENSOMEG00000002059
takifugu_rubripes ENSTRUG00000001553
hippocampus_comes ENSHCOG00000014879
anabas_testudineus ENSATEG00000009845
seriola_lalandi_dorsalis ENSSLDG00000022403
seriola_dumerili ENSSDUG00000018549
scophthalmus_maximus ENSSMAG00000006776
monopterus_albus ENSMALG00000020853
labrus_bergylta ENSLBEG00000005724
amphiprion_ocellaris ENSAOCG00000006868
amphiprion_percula ENSAPEG00000021623
