felis_catus ENSFCAG00000041740
panthera_pardus ENSPPRG00000001494
neovison_vison ENSNVIG00000023612
mustela_putorius_furo ENSMPUG00000014525
vicugna_pacos ENSVPAG00000006500
pan_paniscus ENSPPAG00000028977
pan_troglodytes ENSPTRG00000029120
homo_sapiens ENSG00000196605
gorilla_gorilla ENSGGOG00000011206
pongo_abelii ENSPPYG00000009534
nomascus_leucogenys ENSNLEG00000011991
callithrix_jacchus ENSCJAG00000006108
theropithecus_gelada ENSTGEG00000023794
papio_anubis ENSPANG00000019477
mandrillus_leucophaeus ENSMLEG00000029228
cercocebus_atys ENSCATG00000030061
macaca_mulatta ENSMMUG00000048803
macaca_fascicularis ENSMFAG00000043068
macaca_nemestrina ENSMNEG00000044074
chlorocebus_sabaeus ENSCSAG00000007652
rhinopithecus_roxellana ENSRROG00000029751
rhinopithecus_bieti ENSRBIG00000038305
piliocolobus_tephrosceles ENSPTEG00000032552
colobus_angolensis_palliatus ENSCANG00000031661
carlito_syrichta ENSTSYG00000025832
microcebus_murinus ENSMICG00000033313
propithecus_coquereli ENSPCOG00000023619
ursus_americanus ENSUAMG00000005791
ursus_maritimus ENSUMAG00000014251
canis_lupus_dingo ENSCAFG00020023428
canis_lupus_familiaris ENSCAFG00000032037
vulpes_vulpes ENSVVUG00000028295
equus_asinus_asinus ENSEASG00005010615
pteropus_vampyrus ENSPVAG00000008625
choloepus_hoffmanni ENSCHOG00000009360
