erinaceus_europaeus ENSEEUG00000006918
sorex_araneus ENSSARG00000007256
cavia_porcellus ENSCPOG00000014903
cavia_aperea ENSCAPG00000014208
octodon_degus ENSODEG00000009923
chinchilla_lanigera ENSCLAG00000012804
heterocephalus_glaber_female ENSHGLG00000015210
heterocephalus_glaber_male ENSHGLG00100015584
fukomys_damarensis ENSFDAG00000019544
ictidomys_tridecemlineatus ENSSTOG00000007480
spermophilus_dauricus ENSSDAG00000007620
marmota_marmota_marmota ENSMMMG00000022340
castor_canadensis ENSCCNG00000030955
dipodomys_ordii ENSDORG00000025124
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015696
mus_spicilegus ENSMSIG00000008038
mus_musculus ENSMUSG00000007097
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014892
mus_pahari MGP_PahariEiJ_G0028129
rattus_norvegicus ENSRNOG00000007290
meriones_unguiculatus ENSMUGG00000012811
cricetulus_griseus_crigri ENSCGRG00000014215
cricetulus_griseus_crigri-picr ENSCGRG00015015914
cricetulus_griseus_chok1gshd ENSCGRG00001009182
mesocricetus_auratus ENSMAUG00000009483
peromyscus_maniculatus_bairdii ENSPEMG00000013238
microtus_ochrogaster ENSMOCG00000001569
nannospalax_galili ENSNGAG00000018905
jaculus_jaculus ENSJJAG00000017505
tupaia_belangeri ENSTBEG00000013159
saimiri_boliviensis_boliviensis ENSSBOG00000026209
aotus_nancymaae ENSANAG00000034710
colobus_angolensis_palliatus ENSCANG00000012492
cebus_capucinus ENSCCAG00000035348
pan_paniscus ENSPPAG00000034264
pan_troglodytes ENSPTRG00000048477
homo_sapiens ENSG00000018625
gorilla_gorilla ENSGGOG00000004949
pongo_abelii ENSPPYG00000000641
nomascus_leucogenys ENSNLEG00000028357
mandrillus_leucophaeus ENSMLEG00000028315
cercocebus_atys ENSCATG00000043418
macaca_nemestrina ENSMNEG00000035806
papio_anubis ENSPANG00000013865
chlorocebus_sabaeus ENSCSAG00000002527
theropithecus_gelada ENSTGEG00000005249
colobus_angolensis_palliatus ENSCANG00000034283
colobus_angolensis_palliatus ENSCANG00000035464
rhinopithecus_roxellana ENSRROG00000033472
piliocolobus_tephrosceles ENSPTEG00000020075
carlito_syrichta ENSTSYG00000029846
propithecus_coquereli ENSPCOG00000028575
prolemur_simus ENSPSMG00000022288
microcebus_murinus ENSMICG00000007914
otolemur_garnettii ENSOGAG00000011343
myotis_lucifugus ENSMLUG00000001256
myotis_lucifugus ENSMLUG00000001240
pteropus_vampyrus ENSPVAG00000007973
ovis_aries ENSOARG00000008297
capra_hircus ENSCHIG00000026690
bos_taurus ENSBTAG00000010551
bos_mutus ENSBMUG00000013176
bison_bison_bison ENSBBBG00000021037
tursiops_truncatus ENSTTRG00000001826
vicugna_pacos ENSVPAG00000009692
sus_scrofa ENSSSCG00000006391
ursus_americanus ENSUAMG00000012224
ursus_maritimus ENSUMAG00000001114
ailuropoda_melanoleuca ENSAMEG00000013987
mustela_putorius_furo ENSMPUG00000013193
neovison_vison ENSNVIG00000000411
canis_lupus_familiaris ENSCAFG00000012174
canis_lupus_dingo ENSCAFG00020019829
panthera_pardus ENSPPRG00000009924
panthera_tigris_altaica ENSPTIG00000008674
felis_catus ENSFCAG00000005397
equus_caballus ENSECAG00000024827
equus_asinus_asinus ENSEASG00005002641
dasypus_novemcinctus ENSDNOG00000035584
choloepus_hoffmanni ENSCHOG00000004660
loxodonta_africana ENSLAFG00000000490
procavia_capensis ENSPCAG00000007817
oryctolagus_cuniculus ENSOCUG00000017667
ochotona_princeps ENSOPRG00000011853
notamacropus_eugenii ENSMEUG00000011726
phascolarctos_cinereus ENSPCIG00000027179
sarcophilus_harrisii ENSSHAG00000009196
monodelphis_domestica ENSMODG00000009958
pogona_vitticeps ENSPVIG00000019953
anolis_carolinensis ENSACAG00000015855
notechis_scutatus ENSNSUG00000007855
salvator_merianae ENSSMRG00000007749
sphenodon_punctatus ENSSPUG00000008768
chelonoidis_abingdonii ENSCABG00000013152
gopherus_agassizii ENSGAGG00000016667
chrysemys_picta_bellii ENSCPBG00000009198
pelodiscus_sinensis ENSPSIG00000011512
apteryx_haastii ENSAHAG00000009998
apteryx_owenii ENSAOWG00000019351
apteryx_rowi ENSARWG00000006783
dromaius_novaehollandiae ENSDNVG00000010431
numida_meleagris ENSNMEG00000002121
coturnix_japonica ENSCJPG00005002454
meleagris_gallopavo ENSMGAG00000017370
lonchura_striata_domestica ENSLSDG00000008828
lepidothrix_coronata ENSLCOG00000002770
coturnix_japonica ENSCJPG00005013966
calidris_pygmaea ENSCPGG00000001139
calidris_pugnax ENSCPUG00000007660
anas_platyrhynchos_platyrhynchos ENSAPLG00000016891
nothoprocta_perdicaria ENSNPEG00000014124
ornithorhynchus_anatinus ENSOANG00000029799
ficedula_albicollis ENSFALG00000008783
xenopus_tropicalis ENSXETG00000008125
latimeria_chalumnae ENSLACG00000000476
tetraodon_nigroviridis ENSTNIG00000002240
tetraodon_nigroviridis ENSTNIG00000004890
takifugu_rubripes ENSTRUG00000021425
periophthalmus_magnuspinnatus ENSPMGG00000009707
cynoglossus_semilaevis ENSCSEG00000021656
labrus_bergylta ENSLBEG00000006058
gasterosteus_aculeatus ENSGACG00000017683
scophthalmus_maximus ENSSMAG00000009388
seriola_lalandi_dorsalis ENSSLDG00000006609
seriola_dumerili ENSSDUG00000008548
anabas_testudineus ENSATEG00000015436
mastacembelus_armatus ENSMAMG00000008955
monopterus_albus ENSMALG00000017799
mola_mola ENSMMOG00000020793
fundulus_heteroclitus ENSFHEG00000000130
cyprinodon_variegatus ENSCVAG00000010938
poecilia_mexicana ENSPMEG00000013423
poecilia_latipinna ENSPLAG00000020095
poecilia_formosa ENSPFOG00000012970
poecilia_reticulata ENSPREG00000020143
xiphophorus_maculatus ENSXMAG00000005698
xiphophorus_couchianus ENSXCOG00000019604
gambusia_affinis ENSGAFG00000021023
kryptolebias_marmoratus ENSKMAG00000017108
oryzias_latipes ENSORLG00020007035
oryzias_latipes_asm223469v1 ENSORLG00015000333
oryzias_latipes ENSORLG00000002639
oryzias_melastigma ENSOMEG00000023736
astatotilapia_calliptera ENSACLG00000003985
maylandia_zebra ENSMZEG00005024097
haplochromis_burtoni ENSHBUG00000008041
pundamilia_nyererei ENSPNYG00000002116
neolamprologus_brichardi ENSNBRG00000017270
oreochromis_niloticus ENSONIG00000015107
amphilophus_citrinellus ENSACIG00000014707
amphiprion_ocellaris ENSAOCG00000012014
amphiprion_percula ENSAPEG00000019376
acanthochromis_polyacanthus ENSAPOG00000003901
acanthochromis_polyacanthus ENSAPOG00000002417
stegastes_partitus ENSSPAG00000002123
hippocampus_comes ENSHCOG00000012734
gadus_morhua ENSGMOG00000006554
esox_lucius ENSELUG00000001123
pygocentrus_nattereri ENSPNAG00000005463
astyanax_mexicanus ENSAMXG00000014095
ictalurus_punctatus ENSIPUG00000018863
danio_rerio ENSDARG00000010472
scleropages_formosus ENSSFOG00015013176
paramormyrops_kingsleyae ENSPKIG00000015984
lepisosteus_oculatus ENSLOCG00000001762
