cyprinodon_variegatus ENSCVAG00000004315
oryzias_latipes ENSORLG00000028519
mola_mola ENSMMOG00000001825
phascolarctos_cinereus ENSPCIG00000006638
monodelphis_domestica ENSMODG00000000261
sarcophilus_harrisii ENSSHAG00000010203
vicugna_pacos ENSVPAG00000011762
sus_scrofa ENSSSCG00000031738
bos_mutus ENSBMUG00000017985
bison_bison_bison ENSBBBG00000007290
bos_taurus ENSBTAG00000048312
capra_hircus ENSCHIG00000020640
ovis_aries ENSOARG00000014461
tursiops_truncatus ENSTTRG00000007232
equus_asinus_asinus ENSEASG00005014082
equus_caballus ENSECAG00000023199
myotis_lucifugus ENSMLUG00000009578
ursus_americanus ENSUAMG00000004006
ursus_maritimus ENSUMAG00000002474
ailuropoda_melanoleuca ENSAMEG00000017218
mustela_putorius_furo ENSMPUG00000005229
neovison_vison ENSNVIG00000009756
canis_lupus_dingo ENSCAFG00020014087
canis_lupus_familiaris ENSCAFG00000020270
vulpes_vulpes ENSVVUG00000030103
panthera_pardus ENSPPRG00000024037
panthera_tigris_altaica ENSPTIG00000013808
felis_catus ENSFCAG00000033986
pteropus_vampyrus ENSPVAG00000012269
sorex_araneus ENSSARG00000011005
erinaceus_europaeus ENSEEUG00000013594
chinchilla_lanigera ENSCLAG00000009364
octodon_degus ENSODEG00000003113
cavia_porcellus ENSCPOG00000001259
heterocephalus_glaber_male ENSHGLG00100018007
heterocephalus_glaber_female ENSHGLG00000004244
fukomys_damarensis ENSFDAG00000004665
ictidomys_tridecemlineatus ENSSTOG00000009458
urocitellus_parryii ENSUPAG00010011804
marmota_marmota_marmota ENSMMMG00000008750
ictidomys_tridecemlineatus ENSSTOG00000031983
cricetulus_griseus_crigri ENSCGRG00000013864
meriones_unguiculatus ENSMUGG00000006487
nannospalax_galili ENSNGAG00000015725
jaculus_jaculus ENSJJAG00000020958
castor_canadensis ENSCCNG00000016915
dipodomys_ordii ENSDORG00000015616
oryctolagus_cuniculus ENSOCUG00000003917
ochotona_princeps ENSOPRG00000014711
tupaia_belangeri ENSTBEG00000009523
pan_troglodytes ENSPTRG00000052159
pan_paniscus ENSPPAG00000031760
homo_sapiens ENSG00000171502
gorilla_gorilla ENSGGOG00000000424
pongo_abelii ENSPPYG00000001190
nomascus_leucogenys ENSNLEG00000010050
cercocebus_atys ENSCATG00000039662
mandrillus_leucophaeus ENSMLEG00000000835
papio_anubis ENSPANG00000026362
theropithecus_gelada ENSTGEG00000021106
macaca_fascicularis ENSMFAG00000003536
macaca_nemestrina ENSMNEG00000038307
chlorocebus_sabaeus ENSCSAG00000001431
colobus_angolensis_palliatus ENSCANG00000034964
piliocolobus_tephrosceles ENSPTEG00000030426
rhinopithecus_roxellana ENSRROG00000028931
rhinopithecus_bieti ENSRBIG00000040549
cebus_capucinus ENSCCAG00000026567
callithrix_jacchus ENSCJAG00000007060
saimiri_boliviensis_boliviensis ENSSBOG00000028125
aotus_nancymaae ENSANAG00000028955
carlito_syrichta ENSTSYG00000007947
prolemur_simus ENSPSMG00000021850
microcebus_murinus ENSMICG00000015782
propithecus_coquereli ENSPCOG00000021719
otolemur_garnettii ENSOGAG00000010965
choloepus_hoffmanni ENSCHOG00000001552
dasypus_novemcinctus ENSDNOG00000016150
procavia_capensis ENSPCAG00000011617
loxodonta_africana ENSLAFG00000012889
echinops_telfairi ENSETEG00000018094
ornithorhynchus_anatinus ENSOANG00000028474
ornithorhynchus_anatinus ENSOANG00000029095
chelonoidis_abingdonii ENSCABG00000003730
melopsittacus_undulatus ENSMUNG00000002034
