poecilia_latipinna ENSPLAG00000013002
xiphophorus_couchianus ENSXCOG00000015593
oryzias_latipes ENSORLG00020013323
pundamilia_nyererei ENSPNYG00000008453
neolamprologus_brichardi ENSNBRG00000003499
mola_mola ENSMMOG00000013434
periophthalmus_magnuspinnatus ENSPMGG00000023492
scleropages_formosus ENSSFOG00015017528
astatotilapia_calliptera ENSACLG00000018951
oryzias_melastigma ENSOMEG00000020856
seriola_lalandi_dorsalis ENSSLDG00000018972
scophthalmus_maximus ENSSMAG00000012186
esox_lucius ENSELUG00000020401
scleropages_formosus ENSSFOG00015012312
paramormyrops_kingsleyae ENSPKIG00000019585
